 
 WELLS WITH REDUCED PUMPING FOR STRESS PERIOD     1 TIME STEP     1
   LAY   ROW   COL         APPL.Q          ACT.Q        GW-HEAD       CELL-BOT
     3   287   155  -0.219959E+03  -0.686487E-02   0.527961E+02   0.527800E+02
     3   327   115  -0.104461E+03  -0.155623E+01  -0.383869E+02  -0.387481E+02
     3   327   115  -0.104461E+03  -0.155623E+01  -0.383869E+02  -0.387481E+02
     3   327   114  -0.104461E+03  -0.288727E+01  -0.386740E+02  -0.391707E+02
     2   332   148  -0.984458E+04  -0.859523E+01  -0.227557E+02  -0.227900E+02
     1   331   148  -0.984458E+04  -0.884485E+04  -0.117487E+01  -0.278000E+01
     1   336   147  -0.984458E+04  -0.682502E+04  -0.278068E+02  -0.308400E+02
     1   336   147  -0.984458E+04  -0.682502E+04  -0.278068E+02  -0.308400E+02
     1   336   147  -0.984458E+04  -0.682502E+04  -0.278068E+02  -0.308400E+02
     3   333   154  -0.984458E+04  -0.251257E+01  -0.176537E+02  -0.177000E+02
     1   331   149  -0.984458E+04  -0.853254E+03  -0.477441E+00  -0.840000E+00
     1   331   148  -0.984458E+04  -0.884485E+04  -0.117487E+01  -0.278000E+01
     1   331   148  -0.984458E+04  -0.884485E+04  -0.117487E+01  -0.278000E+01
     1   329   149  -0.984458E+04  -0.401772E+04  -0.187314E+01  -0.275000E+01
     1   329   149  -0.984458E+04  -0.401772E+04  -0.187314E+01  -0.275000E+01
     1   329   149  -0.984458E+04  -0.401772E+04  -0.187314E+01  -0.275000E+01
     2   334   131  -0.896371E+01  -0.781324E+01  -0.239486E+02  -0.255000E+02
     2   334   130  -0.896371E+01  -0.321156E+01  -0.247013E+02  -0.255100E+02
     2   334   130  -0.896371E+01  -0.321156E+01  -0.247013E+02  -0.255100E+02
     3   334   130  -0.896371E+01  -0.105584E+01  -0.548680E+02  -0.555100E+02
     3   334   130  -0.896371E+01  -0.105584E+01  -0.548680E+02  -0.555100E+02
     3   333   129  -0.896371E+01  -0.334170E+01  -0.542869E+02  -0.555300E+02
     1   345   110  -0.208264E+03  -0.710413E+01   0.150210E+02   0.145700E+02
     2   346   109  -0.208264E+03  -0.441883E+01  -0.389967E+02  -0.391700E+02
     3   329   103  -0.208264E+03  -0.250988E-02   0.186950E+03   0.186940E+03
     2   346   109  -0.208264E+03  -0.441883E+01  -0.389967E+02  -0.391700E+02
     2   348   112  -0.107740E+03  -0.841250E+01  -0.386272E+02  -0.389700E+02
     3   323   113  -0.130933E+03  -0.305688E+01  -0.241107E+02  -0.245658E+02
     3   312   112  -0.132245E+01  -0.174424E-02   0.415036E+03   0.414930E+03
     3   311   111  -0.132245E+01  -0.443136E-02   0.334159E+03   0.333990E+03
     3   258   115  -0.185601E+02  -0.592396E-02   0.115852E+03   0.115800E+03
 
