Date,Hacienda,SCWA Diversion,Dry Creek Mouth,Healdsburg,Cloverdale,Hopland,Millview,Lake Mendocino,Calpella
Dec-95,-173874.0101,-172910.7816,-5701.772396,-30059.82027,-11109.63119,-10358.95525,-2709.552248,-162.0146796,-155.4964479
Jan-96,-176882.4706,-175915.1648,-5702.33566,-30508.99628,-11655.70573,-10868.255,-2771.312748,-114.9973074,-108.4790757
Feb-96,-171025.4724,-170012.9928,-6098.870872,-30010.69144,-9652.220202,-8822.36895,-2745.145561,-102.5472276,-99.13644285
Mar-96,-168785.4534,-167833.8005,-5732.928813,-27026.41094,-7990.501742,-7189.81758,-3047.418509,-110.6061176,-107.2646648
Apr-96,-200986.8614,-199966.3811,-9164.798083,-35927.2386,-8061.949047,-7199.337001,-3296.659196,-134.1872509,-126.2613232
May-96,-270312.1896,-268964.6301,-9037.421836,-36665.75592,-10324.07637,-9240.072338,-4256.851704,-200.2253702,-169.7452551
Jun-96,-366190.157,-364870.8292,-11061.45279,-56628.07536,-20105.70414,-18737.00116,-6024.460068,-282.8090077,-255.6536526
Jul-96,-379403.0946,-378160.0334,-10704.63173,-62570.43979,-26648.6291,-24911.33408,-7252.863112,-357.9521224,-303.4428495
Aug-96,-378551.8026,-377308.7413,-10704.63173,-61552.26009,-25630.4494,-24040.95657,-7238.504228,-235.154725,-195.2400252
Sep-96,-332346.6122,-331027.2844,-9268.154244,-47995.27846,-20002.6153,-18581.68275,-6005.510955,-322.2552704,-304.0780966
Oct-96,-285563.6316,-284215.4295,-8895.798069,-38830.85919,-12737.87286,-11653.86883,-5109.388793,-195.376863,-164.8967479
Nov-96,-196478.0196,-195494.645,-5924.02644,-28257.4808,-8450.540444,-7648.3509,-3769.850726,-93.08015209,-89.78306012
Dec-96,-174305.7452,-173350.4304,-5705.362423,-31165.12019,-12216.6986,-11354.1412,-3191.007345,-114.9973074,-108.4790757
Jan-97,-171670.1453,-170678.8527,-5705.362423,-32960.46863,-14028.88312,-13241.4324,-3347.05208,-114.9973074,-108.4790757
Feb-97,-179528.2547,-178461.8233,-6320.662362,-35055.0587,-13971.45607,-13016.48181,-3056.938598,-179.3733953,-172.1567816
Mar-97,-214604.4527,-213651.6972,-5732.04627,-29603.57864,-11130.80178,-10330.11762,-3420.230487,-90.23692912,-86.89547625
Apr-97,-266078.5244,-264749.9987,-9163.085643,-37664.62048,-9854.059684,-8991.447638,-4699.251091,-134.1872509,-126.2613232
May-97,-341625.3504,-340348.5816,-10704.63173,-47640.3635,-16442.31687,-15102.21848,-5609.376436,-183.4101556,-165.8193422
Jun-97,-352006.7284,-350662.9173,-11061.45279,-50514.21488,-18257.6532,-16836.72064,-6117.954277,-189.5238275,-171.3466537
