Stress_period,SCWA Diversion,Hacienda,Dry Creek Mouth,Healdsburg,Cloverdale,Hopland,Lake Mendocino,Calpella
21,-288770.3194,-289493.1146,-80680.44215,-68808.70952,-32486.31783,-30942.79002,,-201.7480261
22,-260728.5922,-261394.1963,-64952.59856,-55634.8967,-26365.89427,-25135.39009,,-165.8193422
23,-201460.9157,-202144.5479,-41094.21862,-34721.25234,-14966.08628,-14263.73737,,-89.78306012
24,-184646.486,-185324.1691,-38109.96154,-32201.5377,-13632.27278,-13022.93178,,-102.8668872
25,-179000.3806,-179677.3861,-48623.14571,-42884.50207,-24714.84868,-23960.10218,,-102.8668872
26,-186068.3256,-186743.6985,-50209.26994,-44037.7352,-24588.41021,-23882.14734,,-92.87902771
27,-175921.6168,-176584.4249,-45926.08036,-40152.70915,-21846.86691,-21161.79768,,-86.89547625
28,-222454.0944,-223200.3552,-59540.68287,-50314.76713,-22378.62536,-21238.88702,,-170.3933062
29,-287982.8751,-288648.0438,-60648.12431,-51612.8568,-21539.51307,-20125.75426,,-294.2691257
30,-308905.9107,-309593.8157,-64331.30805,-54923.91735,-24359.80674,-22860.88421,,-229.4894084
31,-311124.1423,-311824.274,-68698.99567,-57928.27796,-24703.28787,-22984.72801,,-206.1424401
32,-332087.2513,-332790.4626,-71698.11279,-60927.39508,-26538.2174,-24817.45954,,-195.2400252
33,-313595.3899,-314318.8594,-67690.38758,-56560.64594,-22966.73477,-21443.27553,,-242.8428721
34,-259534.6701,-260200.3846,-54466.37284,-45370.00735,-18958.12214,-17827.49489,,-169.7452551
35,-172461.9018,-173143.1849,-41810.0046,-35844.18768,-18818.23341,-18141.83566,,-95.83189475
36,-165718.2638,-166397.7176,-43947.8103,-38209.16666,-21947.59802,-21241.96437,,-102.8668872
37,-157065.2269,-157744.6806,-31234.85912,-25496.21547,-9269.387162,-8399.935439,,-102.8668872
38,-140389.2435,-141141.4959,-32891.74755,-26536.4324,-8663.346257,-7893.930952,,-113.8883394
39,-144941.9157,-145639.6681,-30373.93123,-24594.6925,-8926.744396,-8233.266938,,-107.2646648
40,-170728.2008,-171461.9822,-32679.90726,-26663.16251,-9429.269746,-8580.943521,,-110.8401536
41,-239084.9757,-239833.2475,-46746.26092,-37649.89544,-12650.81093,-11573.30113,,-92.3104808
42,-290762.0137,-291485.4831,-60019.22871,-48889.48707,-18155.30077,-16658.22864,,-171.3466537
43,-352076.8344,-352782.4879,-65285.82617,-54515.10846,-24929.40879,-23106.09617,,-206.1424401
44,-346101.7486,-346918.2663,-65725.86806,-54977.65877,-25405.26915,-23406.11735,,-206.1424401
45,-314627.7977,-315355.3984,-65307.39378,-54200.91085,-23457.89033,-21814.80612,,-229.4894084
46,-229508.7217,-230177.8884,-49625.97452,-40619.59066,-15927.56447,-14616.09157,,-169.7452551
47,-171492.9082,-172195.5499,-34315.4982,-28405.87351,-11407.75105,-10342.46983,,-160.6796628
48,-165453.3285,-166137.3817,-31312.71589,-25594.802,-9262.225965,-8525.890009,,-102.8668872
49,-163171.0109,-163855.0641,-31678.50538,-25842.09774,-7007.210514,-6233.537456,,-108.4790757
50,-168911.2001,-169668.5447,-35282.4115,-28740.36936,-8059.077414,-7095.462956,,-113.8883394
51,-185218.5589,-185883.7501,-32133.88859,-26627.55438,-8171.383181,-7370.699019,,-107.2646648
52,-233256.8127,-233947.7955,-43693.34597,-35426.9045,-9245.083424,-8382.471379,,-126.2613232
53,-239831.4162,-240565.0247,-47152.81801,-38730.57338,-11613.78261,-10515.32477,,-169.7452551
54,-347280.1169,-347973.5276,-62923.53896,-52315.92793,-17359.10581,-15898.2217,,-179.5780005
55,-368551.7182,-369222.7608,-66015.16945,-55582.6923,-21583.60001,-19994.10718,,-195.2400252
56,-365397.7472,-366108.6865,-64461.6786,-54029.20144,-20130.4004,-18361.42697,,-206.1424401
57,-339837.7452,-340559.3935,-62985.45823,-52207.503,-17643.67958,-16144.75704,,-221.2984905
58,-265257.475,-266018.0325,-48191.50965,-39478.88918,-11823.27446,-10739.27042,,-164.8967479
59,-195193.8293,-195902.0127,-30934.89078,-25489.66869,-7676.040659,-6776.667165,,-106.2957835
60,-176634.8262,-177320.1649,-29704.90723,-24413.72389,-7067.271237,-6245.748963,,-102.8668872
61,-160596.6612,-161253.4019,-35152.88025,-29433.88862,-10430.80714,-9719.341663,,-155.4964479
62,-160369.4346,-161110.8725,-33071.69796,-26735.84909,-5556.523217,-4670.051466,,-96.19613584
63,-160298.551,-160971.8987,-35857.16137,-30134.45917,-11054.35764,-10342.89217,,-155.4964479
64,-180097.7294,-180789.7381,-32376.32057,-26431.91178,-7327.158012,-6499.784378,,-94.78981876
65,-207293.783,-208510.8026,-44256.01412,-35328.60982,-9226.374401,-8142.370369,,-128.3954125
66,-334629.3146,-335844.2545,-60053.71395,-48948.37437,-16722.68926,-15337.92092,,-171.3466537
67,-333981.7843,-335235.9226,-70717.50247,-59970.39966,-24048.58897,-22395.49812,,-206.1424401
68,-363635.9558,-364777.5084,-72064.33846,-61317.23565,-25395.42496,-23733.22067,,-206.1424401
69,-346556.9798,-347809.9364,-68992.56808,-57887.2285,-21353.60842,-19854.68589,,-229.4894084
70,-289505.8571,-290694.1564,-49398.65159,-40393.3742,-14280.95955,-13182.50171,,-169.7452551
71,-210077.0423,-211357.8788,-34199.03795,-28254.41286,-9164.572907,-8301.960862,,-110.0816507
72,-172910.7816,-173813.203,-35778.8119,-30059.82027,-11109.63119,-10358.95525,,-155.4964479
73,-175915.1648,-176821.6636,-36228.55118,-30508.99628,-11655.70573,-10868.255,,-108.4790757
74,-170012.9928,-170960.4717,-36128.06277,-30010.69144,-9652.220202,-8822.36895,,-99.13644285
75,-167833.8005,-168724.6463,-32776.64662,-27026.41094,-7990.501742,-7189.81758,,-107.2646648
76,-199966.3811,-200922.8881,-45117.232,-35927.2386,-8061.949047,-7199.337001,,-126.2613232
77,-268964.6301,-270250.2799,-45738.37402,-36665.75592,-10324.07637,-9240.072338,,-169.7452551
78,-364870.8292,-366099.3024,-67733.41494,-56628.07536,-20105.70414,-18737.00116,,-255.6536526
79,-378160.0334,-379315.1709,-73317.5426,-62570.43979,-26648.6291,-24911.33408,,-303.4428495
80,-377308.7413,-378463.8788,-72299.3629,-61552.26009,-25630.4494,-24040.95657,,-195.2400252
81,-331027.2844,-332255.7576,-57307.3195,-47995.27846,-20002.6153,-18581.68275,,-304.0780966
82,-284215.4295,-285501.7219,-47761.85352,-38830.85919,-12737.87286,-11653.86883,,-164.8967479
83,-195494.645,-196415.1857,-34199.39101,-28257.4808,-8450.540444,-7648.3509,,-89.78306012
84,-173350.4304,-174244.9382,-36887.70185,-31165.12019,-12216.6986,-11354.1412,,-108.4790757
85,-170678.8527,-171609.3383,-38683.05029,-32960.46863,-14028.88312,-13241.4324,,-108.4790757
86,-178461.8233,-179460.9326,-41394.88225,-35055.0587,-13971.45607,-13016.48181,,-172.1567816
87,-213651.6972,-214542.543,-35355.14727,-29603.57864,-11130.80178,-10330.11762,,-86.89547625
88,-264749.9987,-266014.551,-46852.90144,-37664.62048,-9854.059684,-8991.447638,,-126.2613232
89,-340348.5816,-341537.4266,-58387.46632,-47640.3635,-16442.31687,-15102.21848,,-165.8193422
90,-350662.9173,-351915.8739,-61619.55445,-50514.21488,-18257.6532,-16836.72064,,-171.3466537
91,-388601.9989,-389756.6482,-74195.22816,-63448.12534,-27586.81183,-25924.60754,,-195.2400252
92,-361918.9061,-363186.1412,-70288.99877,-59541.89596,-24701.74047,-22932.76704,,-206.1424401
93,-328824.1297,-330136.0198,-66008.00244,-54902.66286,-18443.01592,-16944.09338,,-255.6536526
94,-240304.5032,-241601.79,-23778.98818,-21534.61569,-10474.23844,-9371.265847,,-128.3954125
95,-183952.17,-184916.0571,-14699.9339,-14486.49422,-7990.735831,-7163.362198,,-89.78306012
96,-156732.3971,-157646.038,-13169.12655,-12989.97203,-7386.387785,-6516.026339,,-102.8668872
97,-146331.9549,-147241.0641,-18593.7641,-18415.85268,-12393.85931,-11531.30191,,-66.61210368
98,-171045.0962,-172051.61,-20345.2437,-20147.64673,-13568.34601,-12696.52556,,-120.1018338
99,-167351.3027,-168219.2842,-20765.38025,-20582.76917,-14300.7074,-13524.39494,,-95.02705392
100,-168320.3369,-169247.7883,-19074.90636,-18855.2584,-13103.7206,-12276.34697,,-89.79199213
101,-179767.1365,-180710.0045,-16145.8275,-15886.41095,-9793.834142,-8993.149981,,-107.2646648
102,-252935.4165,-254175.3507,-37089.40027,-32079.83611,-14512.2349,-13127.46657,,-171.3466537
103,-349121.8839,-350289.986,-51415.06231,-46493.07149,-24573.83444,-22984.3416,,-195.2400252
104,-366143.9884,-367425.4212,-54948.41534,-50026.42452,-28198.05565,-26460.76063,,-195.2400252
105,-319964.6519,-321171.6908,-49132.16595,-44122.6018,-22866.38024,-21367.4577,,-242.8428721
106,-246298.9047,-247547.8536,-24554.56403,-22321.06291,-11404.09806,-10526.33462,,-122.1883773
107,-174498.5192,-175429.7546,-14223.48513,-14035.80907,-7853.92288,-7118.741887,,-160.6796628
108,-167989.681,-168902.8676,-13552.41588,-13375.58221,-8014.712421,-7193.190146,,-102.8668872
109,-167803.4528,-168716.6394,-14153.19181,-13974.0373,-7942.388863,-7072.027417,,-102.8668872
110,-166902.0721,-167913.1001,-17801.7926,-17604.19563,-11484.17428,-10607.93898,,-113.8883394
111,-163965.9758,-164879.1624,-13801.13082,-13623.2194,-7808.865259,-7021.414531,,-108.4790757
112,-178294.1844,-179221.6359,-14914.7148,-14648.83023,-8662.541525,-7835.167891,,-110.8401536
113,-278600.2929,-279830.741,-29932.83273,-27585.93903,-14039.70868,-12955.70465,,-190.5101478
114,-317149.9706,-318389.9048,-48406.34301,-43396.77886,-21427.77419,-20006.84163,,-171.3466537
115,-378183.8557,-379384.3378,-53543.09972,-48695.1344,-27114.5832,-25664.013,,-235.009231
116,-339500.237,-340516.008,-51264.3109,-46416.34559,-25195.25832,-23426.28488,,-206.1424401
117,-295399.3196,-296445.1639,-41662.08033,-39230.36911,-23877.61864,-22049.67943,,-213.0138547
118,-266829.3482,-267727.1235,-30621.66606,-28326.33335,-14656.7104,-13558.25256,,-169.7452551
119,-174155.4911,-175071.6802,-15565.70409,-15352.2644,-8491.307797,-7663.934164,,-89.78306012
120,-163118.8722,-164021.1597,-13826.62493,-13648.15024,-7594.798025,-6724.436579,,-102.8668872
121,-163031.9615,-163934.2491,-14955.56056,-14777.64914,-8922.324523,-8051.963077,,-108.4790757
122,-159243.6373,-160195.3337,-15089.01741,-14893.81246,-8845.815507,-8043.368817,,-91.56184633
123,-254256.1448,-255113.2273,-15985.50438,-15778.94984,-8978.942961,-8202.630499,,-86.88683237
124,-238516.4378,-239479.4725,-22832.64291,-21490.95974,-10909.31698,-9769.578629,,-126.2613232
125,-250588.9286,-251584.0543,-29334.59149,-26888.34029,-12484.5569,-11386.09906,,-92.3104808
126,-337268.1007,-338196.3658,-53240.22749,-48729.88764,-24493.22598,-22994.30345,,-242.8428721
127,-351388.443,-352286.764,-57350.37879,-52280.82556,-26879.45185,-25428.88165,,-235.009231
128,-357578.1051,-358501.2111,-58823.17347,-53713.67578,-28088.34337,-26426.13908,,-206.1424401
129,-316822.4285,-318788.6933,-51197.05557,-46586.61841,-23285.63456,-21786.71202,,-255.6536526
130,-247155.7397,-248555.4138,-34085.67549,-31007.66862,-14244.14505,-13160.14102,,-164.8967479
131,-173700.2467,-174983.1757,-16751.2475,-16561.14979,-10261.27677,-9461.81461,,-68.83250713
132,-162072.0238,-163313.568,-15179.15652,-14994.51116,-9096.554352,-8226.192906,,-108.4790757
133,-188790.5387,-190106.6598,-18230.74798,-18048.42346,-12416.72998,-11595.20771,,-102.8668872
134,-170323.8492,-171780.9833,-20429.46662,-20225.79049,-14420.90696,-13457.2925,,-113.8883394
135,-179533.7367,-180849.9514,-15732.08445,-15518.50755,-9142.42074,-8341.736578,,-107.2646648
136,-217035.1171,-218380.9938,-18645.264,-18297.77374,-10800.66739,-9998.477849,,-98.19462238
137,-317200.8634,-318891.5051,-42293.05088,-38835.46085,-20284.51187,-18959.9606,,-294.2691257
138,-363677.717,-365883.2103,-57777.65653,-52882.08999,-25568.14041,-24199.43742,,-179.5780005
139,-362278.4906,-363969.1323,-60972.13991,-55671.24135,-28023.00171,-26360.79742,,-206.1424401
140,-357529.0728,-359663.4211,-60000.56325,-55276.47734,-28869.34896,-27216.25811,,-195.2400252
141,-316839.4607,-318586.4571,-53833.20331,-49231.49118,-23984.13651,-22485.21397,,-221.2984905
142,-280414.6111,-282108.3238,-45186.36242,-40842.48072,-18262.15216,-17163.69432,,-165.8193422
143,-167537.4107,-168994.2838,-18314.43351,-18085.53663,-11137.22774,-10309.85411,,-98.19462238
144,-155475.7124,-156793.2357,-13056.16058,-12858.20292,-6814.127957,-6026.677229,,-108.4790757
145,-155078.9305,-156396.4538,-18830.94578,-16981.65973,-7126.787034,-6335.348696,,-102.8668872
146,-160438.3033,-161705.7612,-24665.27295,-22762.69438,-12380.0321,-11520.5433,,-94.83191227
147,-167121.5998,-168267.0188,-27018.32962,-24999.30432,-14504.98323,-13754.3073,,-85.65463044
148,-217390.3489,-218578.5088,-32172.95005,-29546.18515,-16715.59357,-15888.21994,,-126.2613232
149,-263441.4846,-264721.4375,-38808.38621,-36360.99081,-18567.97739,-17483.97336,,-164.8967479
150,-331011.2449,-332588.3314,-51643.43805,-47670.40644,-23593.02967,-22094.10713,,-304.0780966
151,-362596.6606,-364376.4895,-59994.19181,-55418.71237,-29334.28874,-27744.79591,,-195.2400252
152,-355702.4516,-357276.6859,-59099.59427,-54730.75657,-30264.33554,-28495.36211,,-195.2400252
153,-324129.2027,-325706.2891,-53908.27812,-49634.64514,-25526.4054,-24027.48286,,-229.4894084
154,-278936.0645,-280182.1095,-41905.99108,-38329.10825,-17820.00053,-16735.99649,,-164.8967479
155,-186759.3441,-187907.0604,-23125.89978,-21041.4333,-9336.743681,-8509.370047,,-94.78981876
156,-165878.8488,-166988.5879,-22886.91806,-21099.55065,-11022.52188,-10248.84882,,-108.4790757
157,-164100.9739,-165229.8308,-25311.20293,-23614.86854,-13826.22745,-13049.91499,,-95.02705392
158,-170175.5727,-171041.0333,-25889.16233,-24054.88054,-13803.64634,-12931.82589,,-172.1567816
159,-176977.0836,-177730.1919,-26911.78658,-24869.94174,-14025.70054,-13225.01638,,-86.88683237
160,-177881.1335,-178713.6831,-27409.84981,-25297.43007,-13993.72564,-13218.02717,,-88.50978479
161,-230419.2798,-231286.9315,-36592.2943,-33467.70272,-13249.91095,-12151.45311,,-166.2687934
162,-332904.4407,-333813.7501,-45408.77487,-41338.39076,-14866.76558,-13367.84304,,-229.4894084
163,-367993.9802,-368801.6011,-54476.91006,-49925.53123,-21432.26186,-19694.96683,,-195.2400252
164,-345524.4244,-346331.5572,-49230.78603,-44913.53998,-18907.47844,-17245.27415,,-206.1424401
165,-325253.036,-326087.5776,-45492.7335,-41459.66643,-16886.57623,-15247.27745,,-242.8428721
166,-281884.1462,-282629.5125,-35154.82838,-31528.65659,-9713.439912,-8614.982073,,-169.7452551
167,-158277.2828,-159016.0241,-24855.99297,-22754.38915,-11052.78819,-10161.47887,,-68.83250713
168,-195455.661,-196146.5852,-23645.79404,-21804.98089,-11367.87723,-10497.51579,,-102.8668872
169,-168995.5583,-169686.4824,-20518.42624,-20345.52092,-14035.65168,-13165.29023,,-102.8668872
170,-167408.2584,-168146.8325,-20680.51749,-20497.0165,-13819.89756,-12897.85344,,-115.9603912
171,-226849.6993,-227606.5293,-26854.68443,-26315.20115,-15265.43057,-14162.45798,,-128.3954125
172,-255651.6088,-256401.9217,-28180.52422,-27611.82441,-15555.21269,-14415.47434,,-126.2613232
173,-306862.9548,-307662.9299,-39157.10006,-36802.93783,-15567.76534,-14469.3075,,-169.7452551
174,-392621.485,-393392.6906,-47016.90861,-43089.30798,-15164.20374,-13795.50075,,-179.5780005
175,-341407.5574,-342202.6727,-54033.23425,-49944.29056,-20915.17364,-19508.23607,,-195.2400252
176,-402213.4597,-403150.1838,-50943.51417,-47064.92019,-19139.76292,-17603.4942,,-206.1424401
177,-316372.042,-317207.9923,-41816.36248,-39096.98501,-17052.83527,-15553.91273,,-304.0780966
178,-240647.9055,-241425.6507,-23821.99979,-22979.12628,-9421.979033,-8337.975001,,-128.3954125
179,-191682.3205,-192383.8848,-11727.37371,-11545.28554,-4663.383223,-3928.20223,,-88.50978479
180,-187944.426,-188635.3502,-19191.91345,-19025.34986,-12536.01159,-11748.56086,,-102.8668872
181,-181343.0358,-182033.96,-20383.01649,-20216.41204,-13885.47501,-13015.11356,,-102.8668872
182,-176092.5818,-176844.2578,-20505.2061,-20321.97866,-13896.34177,-13036.85298,,-94.83191227
183,-176495.1265,-177233.1989,-22091.70935,-21679.36012,-14892.76419,-14092.08003,,-86.89547625
184,-178114.9215,-178816.4858,-23960.57304,-23489.3978,-15325.52241,-14498.14877,,-94.78981876
185,-253888.4462,-254665.796,-31204.43065,-29024.00321,-14987.89752,-13889.43968,,-164.8967479
186,-304904.3624,-305674.5956,-44066.53822,-38673.49658,-12424.10091,-11039.33257,,-175.4034303
187,-336651.3596,-337459.8555,-51466.25335,-46264.40456,-18471.04517,-16916.30541,,-195.2400252
188,-367895.1026,-368695.9939,-52198.58384,-46889.72787,-18664.58761,-17194.05202,,-195.2400252
189,-284173.6061,-284948.2599,-45788.28697,-41047.39065,-15625.99246,-14241.22412,,-171.3466537
190,-279473.6494,-280251.0601,-38203.91168,-33794.95728,-11602.07232,-10518.06829,,-164.8967479
191,-202709.7923,-203423.0387,-23435.53749,-20649.85109,-7781.178692,-6978.989148,,-98.19462238
192,-175629.8392,-176323.6182,-29559.87415,-26582.04715,-14348.52932,-13574.85626,,-108.4790757
193,-185819.8603,-186513.6393,-26865.29323,-24819.84123,-14923.64441,-14053.28297,,-108.4790757
194,-183536.9637,-184305.0761,-29267.31949,-26560.36638,-14581.11785,-13626.14358,,-172.1567816
195,-171583.9577,-172277.7367,-27867.18448,-25304.28683,-14036.98316,-13166.62171,,-102.8668872
196,-172159.3002,-172877.191,-28782.4331,-25994.51192,-14091.23468,-13263.86105,,-89.79199213
197,-314628.822,-315409.0266,-49649.99289,-44990.09763,-22658.76057,-21560.30273,,-169.7452551
198,-325260.11,-326083.9434,-53402.01329,-47687.85241,-20351.83378,-18712.535,,-242.8428721
199,-391795.6284,-392734.4954,-59771.87865,-53297.47173,-21650.86456,-20096.1248,,-303.4428495
200,-363678.9787,-364428.6436,-54857.57025,-48757.68845,-20593.14356,-19006.72539,,-206.1424401
201,-319906.8174,-320682.0351,-54835.19762,-48641.42447,-19969.82297,-18470.90043,,-229.4894084
202,-310932.5671,-311683.0998,-37970.54792,-33482.70013,-11547.14525,-10463.14122,,-128.3954125
203,-207949.6728,-208666.5778,-26420.16059,-23456.32942,-9618.649663,-8816.460119,,-88.50978479
204,-178424.9517,-179118.7306,-27827.85843,-25381.58575,-14381.76159,-13511.40014,,-102.8668872
205,-209083.8551,-209777.6341,-26636.4909,-23984.26605,-12497.89658,-11676.3743,,-94.50048387
206,-190068.5295,-190836.6419,-27973.26215,-25402.89004,-14249.64847,-13393.08187,,-105.46254
207,-198047.7387,-198737.4402,-30632.64201,-27759.11717,-16116.70418,-15316.02001,,-103.2399455
208,-267932.1012,-268649.992,-39897.9625,-36094.7986,-17820.53112,-16993.15749,,-107.503597
209,-284286.6063,-285066.8108,-46644.53019,-41780.61083,-18780.12534,-17681.6675,,-160.7853948
210,-319482.2102,-320427.4934,-54632.54999,-49567.50001,-22346.26147,-20885.37736,,-163.184556
211,-330950.6461,-331919.224,-56843.74165,-51944.27916,-25487.67254,-24017.13695,,-206.1424401
212,-283182.6021,-284138.8814,-57722.68599,-52441.0029,-26216.54282,-24736.89379,,-206.1424401
213,-280978.9434,-281918.5805,-51587.61719,-46796.20279,-22532.41718,-21147.64885,,-164.089108
214,-216672.2787,-217445.3864,-34023.53228,-30024.84321,-11727.12534,-10624.15274,,-121.5238118
215,-208418.0507,-209100.9579,-23933.31231,-20936.61664,-8105.349733,-7303.160189,,-81.90095288
216,-197647.2114,-198336.6874,-20940.54965,-18342.51375,-7441.19046,-6619.668185,,-97.24597161
217,-169466.6278,-170152.4553,-23978.14531,-22233.42465,-13369.14677,-12639.11476,,-116.1577626
218,-168425.9241,-169159.0501,-25471.64816,-23516.21316,-14182.63825,-13402.2592,,-119.6000242
219,-203180.8158,-203862.566,-27392.75689,-25236.50135,-14700.4929,-13970.46089,,-92.82458245
220,-253879.4886,-254584.5185,-31769.38014,-28375.51214,-13807.00569,-13093.15675,,-103.0310409
221,-229633.1629,-230432.2241,-44038.93752,-39785.48416,-16901.29695,-15905.96818,,-185.6860853
222,-330370.1818,-331472.0183,-51489.45485,-46975.05678,-21974.91962,-20684.13795,,-185.3142151
223,-299355.3099,-300467.4898,-53795.36926,-49244.67298,-24732.77114,-23413.51274,,-189.1833696
224,-262554.7374,-263828.8715,-51638.3147,-47234.76582,-25248.91405,-23929.65565,,-189.1833696
225,-307808.9013,-308908.1478,-47978.26579,-43758.90904,-22436.12083,-21145.33916,,-262.3993143
226,-222049.5493,-223039.5861,-35460.17499,-31819.03207,-13352.18713,-12356.85836,,-180.9885181
227,-166078.7375,-166930.499,-22314.72759,-19940.6397,-10326.27397,-9612.42503,,-97.69096637
228,-157131.5889,-157895.4534,-18934.26202,-17026.3801,-8205.281153,-7475.249141,,-120.309521
229,-160986.6453,-161750.5098,-21456.96376,-18371.03093,-6944.60137,-6258.681791,,-113.8376623
230,-195621.3753,-196467.0824,-25684.25912,-22211.27987,-10034.10523,-9317.956291,,-128.4680433
231,-164277.4913,-165029.3648,-26373.89822,-23393.50735,-12387.19293,-11706.29286,,-87.3296081
232,-257335.2681,-258138.0969,-36368.59651,-31923.49922,-16524.48153,-15746.43806,,-112.3039023
233,-236455.8081,-237354.7839,-40251.8693,-34831.36735,-13913.99375,-13131.81572,,-169.0790517
234,-270302.2772,-271394.8193,-48143.3293,-41735.39619,-15107.5366,-13883.31535,,-190.109089
235,-242353.7914,-243457.0491,-54038.11711,-47384.86548,-19104.34256,-17786.30527,,-189.1833696
236,-267510.2893,-268625.8736,-54580.92804,-47810.44542,-19613.74649,-18100.53889,,-206.645177
237,-244627.5242,-245934.1692,-51296.62379,-44762.01538,-17447.54541,-16071.90709,,-214.164254
238,-172094.181,-172958.0686,-36610.08553,-31576.21863,-11561.42033,-10669.03012,,-127.0253753
239,-194457.2688,-195227.162,-24444.75198,-20777.00777,-7434.708097,-6732.373165,,-88.85260522
240,-169543.6907,-170288.9175,-20143.26805,-17022.58215,-5572.59684,-4869.581785,,-100.4055028
241,-157649.2235,-158329.8025,-21192.93301,-18970.19245,-9751.383928,-8936.602275,,-108.4790757
242,-176416.4561,-177163.0509,-24129.75483,-21821.57589,-12320.9757,-11604.96134,,-94.83191227
243,-195812.8778,-196496.3798,-24282.1553,-21916.34049,-12085.1568,-11420.11088,,-85.65463044
244,-120180.9439,-120928.3643,-25918.67595,-23396.08192,-12816.26192,-12121.48386,,-98.19462238
245,-177803.2932,-178527.7339,-27211.72587,-23832.14184,-7887.090882,-7114.734045,,-107.2646648
246,-263430.3402,-264104.3436,-40227.2107,-35090.28719,-12127.15253,-11002.92503,,-171.3466537
247,-273229.4652,-273922.9999,-50343.88675,-45481.8764,-22040.47146,-20524.8774,,-206.1424401
248,-295389.9059,-296070.4968,-49747.07897,-44911.08749,-21886.08567,-20302.1097,,-235.009231
249,-259868.0846,-260584.0858,-46905.52033,-42214.61911,-19597.16302,-18186.50489,,-304.0780966
250,-216049.3679,-216611.855,-36807.4838,-33492.51976,-16147.64574,-14917.78745,,-92.3104808
251,-169740.2445,-170205.5117,-22775.83039,-20330.26955,-10127.98377,-9402.915386,,-160.6796628
252,-183735.6463,-184202.6417,-22911.49742,-20621.15055,-11107.2498,-10343.49823,,-108.4790757
253,-144570.4451,-145030.8465,-21865.72825,-20099.60744,-11847.57234,-11155.86598,,-108.4790757
254,-165594.0337,-166092.002,-22410.99681,-20609.90611,-11862.73527,-11089.41626,,-113.8883394
255,-136973.358,-137438.392,-21679.33793,-19961.80722,-11699.23404,-11035.40922,,-155.4964479
256,-152074.6452,-152475.6678,-22300.23172,-20134.85997,-8638.45714,-7928.537374,,-89.79199213
257,-248416.2818,-248837.3036,-27114.92996,-24117.55147,-8961.270484,-7999.642309,,-106.5306297
258,-218844.9074,-219385.0231,-36524.73938,-32653.23066,-12152.01515,-11064.71827,,-171.3466537
259,-250572.383,-251154.845,-44742.07542,-40455.29916,-18302.10128,-16972.64822,,-206.1424401
260,-302611.27,-303170.8973,-46833.21136,-42656.36258,-21471.43661,-19885.01844,,-206.1424401
261,-263586.386,-264193.625,-48195.67685,-44044.73543,-22031.40984,-20694.92258,,-213.0138547
262,-183774.0649,-184249.5945,-34347.62254,-31624.90497,-14828.40369,-13783.13178,,-166.2687934
263,-183858.0918,-184251.3005,-24796.60382,-22896.6447,-12993.4253,-12164.10235,,-160.6796628
264,-185959.2837,-186337.9766,-23634.77716,-21895.15372,-12539.73156,-11843.69208,,-102.8668872
265,-166735.6232,-167108.699,-23598.74989,-21844.22254,-12169.2249,-11421.89899,,-102.8668872
266,-171064.6266,-171445.9942,-23520.30066,-21739.33348,-12120.27175,-11353.08046,,-166.2203408
267,-159869.706,-160230.8652,-22745.84196,-21041.1507,-11670.38083,-10945.35912,,-66.61210368
268,-166698.0355,-167084.3772,-24004.73956,-22110.70963,-11923.52981,-11126.68956,,-110.8401536
