parnme,partrans,parval1,pargp,comments
ks_52,none,0.0034426257,upw_ks,617
ks_53,none,4.93671421,upw_ks,618
ks_54,none,0.017753418,upw_ks,625
ks_55,none,19.81532262,upw_ks,627
ks_56,none,72.73570775,upw_ks,628
ks_57,none,5.460516749,upw_ks,637
ks_58,none,0.309892098,upw_ks,645
ks_59,none,0.006815165,upw_ks,647
ks_6,none,221.64094,upw_ks,161
ks_60,none,5.019495854,upw_ks,648
ks_61,none,0.02854178,upw_ks,655
ks_62,none,0.277704984,upw_ks,657
ks_63,none,10.56851079,upw_ks,658
ks_64,none,0.000613975,upw_ks,665
ks_65,none,0.001874023,upw_ks,667
ks_66,none,5.527088196,upw_ks,668
ks_67,none,8.908029285,upw_ks,795
ks_68,none,0.009230273,upw_ks,796
ks_69,none,0.738007444,upw_ks,797
ks_7,none,1.02e-05,upw_ks,170
ks_70,none,3.769920064,upw_ks,798
ks_71,none,1e-05,upw_ks,1010
ks_72,none,8.83e-05,upw_ks,1020
ks_73,none,0.000112722,upw_ks,1030
ks_74,none,9.32e-05,upw_ks,1040
ks_75,none,1.4e-05,upw_ks,1050
ks_76,none,0.000191976,upw_ks,1060
ks_77,none,0.000102201,upw_ks,1070
ks_78,none,1.62e-05,upw_ks,1080
ks_79,none,1e-05,upw_ks,1090
ks_8,none,1e-05,upw_ks,180
ks_80,none,259.388155,upw_ks,1101
ks_81,none,9.01e-05,upw_ks,1110
ks_82,none,98.01698481,upw_ks,1121
ks_83,none,6.5633,upw_ks,1131
ks_84,none,9.02e-05,upw_ks,1140
ks_85,none,1.29e-05,upw_ks,1150
ks_86,none,0.000131559,upw_ks,1160
ks_87,none,499.967891,upw_ks,1171
ks_88,none,21.8836,upw_ks,1181
ks_89,none,7.98e-05,upw_ks,1190
ks_9,none,8.234483624,upw_ks,191
ks_90,none,4.483889877,upw_ks,1191
ks_91,none,14.4669,upw_ks,1211
ks_92,none,0.000113981,upw_ks,1220
ks_93,none,0.04175079,upw_ks,1260
ks_94,none,3.04e-05,upw_ks,1290
ks_95,none,0.0001,upw_ks,1320
ks_96,none,0.000172895,upw_ks,1350
ks_97,none,5.52e-05,upw_ks,1360
