,obsnme,obsval,weight,obgnme
ho_109,ho_109,171.620697021,1.0,HEADS
ho_11,ho_11,51.3138008118,1.0,HEADS
ho_110,ho_110,170.513793945,1.0,HEADS
ho_111,ho_111,171.233596802,1.0,HEADS
ho_112,ho_112,171.661804199,1.0,HEADS
ho_113,ho_113,168.600097656,1.0,HEADS
ho_114,ho_114,171.884002686,1.0,HEADS
ho_115,ho_115,248.593399048,1.0,HEADS
ho_116,ho_116,237.550704956,1.0,HEADS
ho_117,ho_117,245.390304565,1.0,HEADS
ho_118,ho_118,233.659698486,1.0,HEADS
ho_119,ho_119,239.383804321,1.0,HEADS
ho_12,ho_12,26.0044002533,1.0,HEADS
ho_120,ho_120,250.395599365,1.0,HEADS
ho_121,ho_121,237.750106812,1.0,HEADS
ho_122,ho_122,315.903900146,1.0,HEADS
ho_123,ho_123,261.981689453,1.0,HEADS
ho_124,ho_124,266.225311279,1.0,HEADS
ho_125,ho_125,273.722290039,1.0,HEADS
ho_126,ho_126,236.408996582,1.0,HEADS
ho_127,ho_127,222.768295288,1.0,HEADS
ho_128,ho_128,181.57699585,1.0,HEADS
ho_129,ho_129,245.484405518,1.0,HEADS
ho_13,ho_13,15.5081996918,1.0,HEADS
ho_130,ho_130,202.239501953,1.0,HEADS
ho_131,ho_131,229.000793457,1.0,HEADS
ho_132,ho_132,209.319396973,1.0,HEADS
ho_133,ho_133,239.668395996,1.0,HEADS
ho_134,ho_134,239.430404663,1.0,HEADS
ho_135,ho_135,212.784896851,1.0,HEADS
ho_136,ho_136,216.19380188,1.0,HEADS
ho_137,ho_137,235.840301514,1.0,HEADS
ho_138,ho_138,221.047103882,1.0,HEADS
ho_139,ho_139,240.238296509,1.0,HEADS
ho_14,ho_14,380.539794922,1.0,HEADS
ho_140,ho_140,238.408493042,1.0,HEADS
ho_141,ho_141,243.412002563,1.0,HEADS
ho_142,ho_142,216.590896606,1.0,HEADS
ho_143,ho_143,246.857498169,1.0,HEADS
ho_144,ho_144,219.979797363,1.0,HEADS
ho_145,ho_145,235.419296265,1.0,HEADS
ho_146,ho_146,261.6144104,1.0,HEADS
ho_147,ho_147,258.690185547,1.0,HEADS
ho_148,ho_148,223.727798462,1.0,HEADS
ho_149,ho_149,216.577194214,1.0,HEADS
ho_15,ho_15,14.0573997498,1.0,HEADS
ho_150,ho_150,248.27180481,1.0,HEADS
ho_151,ho_151,250.716293335,1.0,HEADS
ho_152,ho_152,189.683395386,1.0,HEADS
ho_153,ho_153,184.069503784,1.0,HEADS
ho_154,ho_154,180.046905518,1.0,HEADS
ho_155,ho_155,177.786300659,1.0,HEADS
ho_156,ho_156,177.568893433,1.0,HEADS
ho_157,ho_157,177.361602783,1.0,HEADS
ho_158,ho_158,201.250106812,1.0,HEADS
ho_159,ho_159,187.113693237,1.0,HEADS
ho_16,ho_16,60.5152015686,1.0,HEADS
ho_160,ho_160,196.24949646,1.0,HEADS
ho_161,ho_161,296.00201416,1.0,HEADS
ho_162,ho_162,211.044006348,1.0,HEADS
ho_163,ho_163,219.070404053,1.0,HEADS
ho_164,ho_164,215.009506226,1.0,HEADS
ho_165,ho_165,231.485900879,1.0,HEADS
ho_166,ho_166,222.935699463,1.0,HEADS
ho_167,ho_167,271.630615234,1.0,HEADS
ho_168,ho_168,275.42590332,1.0,HEADS
ho_169,ho_169,291.707794189,1.0,HEADS
ho_17,ho_17,6.11660003662,1.0,HEADS
ho_170,ho_170,291.217010498,1.0,HEADS
ho_18,ho_18,38.3134002686,1.0,HEADS
ho_19,ho_19,38.8009986877,1.0,HEADS
ho_2,ho_2,92.1474990845,1.0,HEADS
ho_20,ho_20,17.3945999146,1.0,HEADS
ho_21,ho_21,27.7947006226,1.0,HEADS
ho_22,ho_22,18.7147006989,1.0,HEADS
ho_23,ho_23,5.3654999733,1.0,HEADS
ho_24,ho_24,12.7018995285,1.0,HEADS
ho_25,ho_25,12.9337997437,1.0,HEADS
ho_26,ho_26,12.0559997559,1.0,HEADS
ho_27,ho_27,16.8985004425,1.0,HEADS
ho_28,ho_28,17.4908008575,1.0,HEADS
ho_29,ho_29,17.8964004517,1.0,HEADS
ho_3,ho_3,43.8522987366,1.0,HEADS
ho_30,ho_30,20.4466991425,1.0,HEADS
ho_31,ho_31,38.5256004333,1.0,HEADS
ho_32,ho_32,12.8260002136,1.0,HEADS
ho_33,ho_33,35.315700531,1.0,HEADS
ho_34,ho_34,44.5680999756,1.0,HEADS
ho_35,ho_35,38.0232009888,1.0,HEADS
ho_36,ho_36,4.74149990082,1.0,HEADS
ho_37,ho_37,12.4693002701,1.0,HEADS
ho_38,ho_38,131.841796875,1.0,HEADS
ho_39,ho_39,125.179397583,1.0,HEADS
ho_4,ho_4,1.17550003529,1.0,HEADS
ho_40,ho_40,64.1027984619,1.0,HEADS
ho_41,ho_41,58.2778015137,1.0,HEADS
ho_42,ho_42,95.8992004395,1.0,HEADS
ho_43,ho_43,44.5270004272,1.0,HEADS
ho_44,ho_44,57.9972991943,1.0,HEADS
ho_45,ho_45,52.4485015869,1.0,HEADS
ho_46,ho_46,86.3453979492,1.0,HEADS
ho_47,ho_47,101.793296814,1.0,HEADS
ho_48,ho_48,337.276397705,1.0,HEADS
ho_49,ho_49,52.8126983643,1.0,HEADS
ho_5,ho_5,2.3805000782,1.0,HEADS
ho_50,ho_50,53.8468017578,1.0,HEADS
ho_51,ho_51,79.1760025024,1.0,HEADS
ho_52,ho_52,83.1737976074,1.0,HEADS
ho_53,ho_53,85.943397522,1.0,HEADS
ho_54,ho_54,52.5554008484,1.0,HEADS
ho_55,ho_55,70.5123977661,1.0,HEADS
ho_56,ho_56,49.9133987427,1.0,HEADS
ho_57,ho_57,49.6344985962,1.0,HEADS
ho_58,ho_58,43.7001991272,1.0,HEADS
ho_59,ho_59,47.0382995605,1.0,HEADS
ho_6,ho_6,60.0546989441,1.0,HEADS
ho_60,ho_60,48.7924003601,1.0,HEADS
ho_61,ho_61,49.9469985962,1.0,HEADS
ho_62,ho_62,60.3050003052,1.0,HEADS
ho_63,ho_63,58.0648002625,1.0,HEADS
ho_64,ho_64,342.960998535,1.0,HEADS
ho_65,ho_65,140.086105347,1.0,HEADS
ho_66,ho_66,336.102996826,1.0,HEADS
ho_67,ho_67,147.782104492,1.0,HEADS
ho_68,ho_68,149.232696533,1.0,HEADS
ho_69,ho_69,144.211898804,1.0,HEADS
ho_7,ho_7,190.309295654,1.0,HEADS
ho_70,ho_70,143.365600586,1.0,HEADS
ho_71,ho_71,553.659973145,1.0,HEADS
ho_72,ho_72,238.963195801,1.0,HEADS
ho_73,ho_73,234.057495117,1.0,HEADS
ho_74,ho_74,219.538299561,1.0,HEADS
ho_75,ho_75,220.830505371,1.0,HEADS
ho_76,ho_76,256.07409668,1.0,HEADS
ho_77,ho_77,229.424804688,1.0,HEADS
ho_78,ho_78,230.248001099,1.0,HEADS
ho_79,ho_79,226.520095825,1.0,HEADS
ho_8,ho_8,42.3306007385,1.0,HEADS
ho_80,ho_80,258.186309814,1.0,HEADS
ho_81,ho_81,220.44960022,1.0,HEADS
ho_82,ho_82,217.594802856,1.0,HEADS
ho_83,ho_83,205.736999512,1.0,HEADS
ho_84,ho_84,199.042007446,1.0,HEADS
ho_85,ho_85,204.353805542,1.0,HEADS
ho_86,ho_86,219.514892578,1.0,HEADS
ho_87,ho_87,237.576904297,1.0,HEADS
ho_88,ho_88,232.421096802,1.0,HEADS
ho_89,ho_89,238.891693115,1.0,HEADS
ho_9,ho_9,52.0217018127,1.0,HEADS
ho_90,ho_90,189.36000061,1.0,HEADS
ho_91,ho_91,200.199798584,1.0,HEADS
ho_92,ho_92,199.727798462,1.0,HEADS
ho_93,ho_93,196.187606812,1.0,HEADS
ho_94,ho_94,184.282104492,1.0,HEADS
ho_95,ho_95,165.550598145,1.0,HEADS
ho_96,ho_96,119.11579895,1.0,HEADS
ho_97,ho_97,161.82510376,1.0,HEADS
ho_98,ho_98,155.513504028,1.0,HEADS
ho_99,ho_99,162.746398926,1.0,HEADS
pmpchg,pmpchg,0.0,0.009225312080288851,PmpCHG
