mfrowcol,run_id,tlay,blay,nlay,row,col,xcoord,ycoord
c281171,116,1,1,1,281,171,519090,4274190
c283180,117,2,2,1,283,180,521898,4273566
c284179,118,2,2,1,284,179,521586,4273254
c286156,119,1,1,1,286,156,514410,4272630
c286157,120,1,1,1,286,157,514722,4272630
c286175,121,1,1,1,286,175,520338,4272630
c287155,122,3,3,1,287,155,514098,4272318
c287160,123,1,1,1,287,160,515658,4272318
c289162,124,1,1,1,289,162,516282,4271694
c293164,125,1,1,1,293,164,516906,4270446
c295156,126,1,1,1,295,156,514410,4269822
c295157,127,1,1,1,295,157,514722,4269822
c296149,128,1,1,1,296,149,512226,4269510
c296158,129,1,1,1,296,158,515034,4269510
c297149,130,1,1,1,297,149,512226,4269198
c297151,131,1,1,1,297,151,512850,4269198
c297155,132,1,1,1,297,155,514098,4269198
c298149,133,1,1,1,298,149,512226,4268886
c298157,134,1,2,2,298,157,514722,4268886
c301151,135,1,1,1,301,151,512850,4267950
c302148,136,3,3,1,302,148,511914,4267638
c303156,137,1,1,1,303,156,514410,4267326
c305148,138,3,3,1,305,148,511914,4266702
c306148,139,3,3,1,306,148,511914,4266390
c308147,140,3,3,1,308,147,511602,4265766
c308157,141,3,3,1,308,157,514722,4265766
c308159,142,3,3,1,308,159,515346,4265766
c308160,143,2,3,2,308,160,515658,4265766
c309159,144,3,3,1,309,159,515346,4265454
c309219,145,2,2,1,309,219,534066,4265454
c311111,146,3,3,1,311,111,500370,4264830
c312112,147,3,3,1,312,112,500682,4264518
c312158,148,2,2,1,312,158,515034,4264518
c312159,149,2,2,1,312,159,515346,4264518
c314156,150,1,1,1,314,156,514410,4263894
c314219,151,1,1,1,314,219,534066,4263894
c315156,152,1,1,1,315,156,514410,4263582
c319154,153,1,1,1,319,154,513786,4262334
c320154,154,1,1,1,320,154,513786,4262022
c322088,155,2,2,1,322,88,493194,4261398
c323113,156,3,3,1,323,113,500994,4261086
c324083,157,3,3,1,324,83,491634,4260774
c324084,158,3,3,1,324,84,491946,4260774
c324113,159,2,3,2,324,113,500994,4260774
c326082,160,3,3,1,326,82,491322,4260150
c326088,161,3,3,1,326,88,493194,4260150
c326150,162,3,3,1,326,150,512538,4260150
c327114,163,3,3,1,327,114,501306,4259838
c327115,164,3,3,1,327,115,501618,4259838
c328097,165,3,3,1,328,97,496002,4259526
c328148,166,1,1,1,328,148,511914,4259526
c329096,167,3,3,1,329,96,495690,4259214
c329103,168,3,3,1,329,103,497874,4259214
c329149,169,1,1,1,329,149,512226,4259214
c331148,170,1,1,1,331,148,511914,4258590
c331149,171,1,1,1,331,149,512226,4258590
c332094,172,2,2,1,332,94,495066,4258278
c332118,173,2,2,1,332,118,502554,4258278
c332119,174,2,2,1,332,119,502866,4258278
c332148,175,2,2,1,332,148,511914,4258278
c333114,176,1,1,1,333,114,501306,4257966
c333129,177,3,3,1,333,129,505986,4257966
c333131,178,1,1,1,333,131,506610,4257966
c333154,179,3,3,1,333,154,513786,4257966
c334106,180,3,3,1,334,106,498810,4257654
c334130,181,2,3,2,334,130,506298,4257654
c334131,182,1,2,2,334,131,506610,4257654
c335094,183,2,3,2,335,94,495066,4257342
c335143,184,1,1,1,335,143,510354,4257342
c335144,185,1,1,1,335,144,510666,4257342
c335147,186,1,1,1,335,147,511602,4257342
c336142,187,1,1,1,336,142,510042,4257030
c336144,188,1,1,1,336,144,510666,4257030
c336147,189,1,1,1,336,147,511602,4257030
c337145,190,1,1,1,337,145,510978,4256718
c337146,191,1,1,1,337,146,511290,4256718
c338095,192,2,3,2,338,95,495378,4256406
c340098,193,2,2,1,340,98,496314,4255782
c341097,194,2,2,1,341,97,496002,4255470
c343099,195,3,3,1,343,99,496626,4254846
c344098,196,3,3,1,344,98,496314,4254534
c344100,197,2,3,2,344,100,496938,4254534
c344156,198,1,1,1,344,156,514410,4254534
c345109,199,1,1,1,345,109,499746,4254222
c345110,200,1,1,1,345,110,500058,4254222
c346109,201,2,2,1,346,109,499746,4253910
c347111,202,1,1,1,347,111,500370,4253598
c348112,203,2,2,1,348,112,500682,4253286
c348148,204,2,2,1,348,148,511914,4253286
c349100,205,1,1,1,349,100,496938,4252974
c349101,206,1,1,1,349,101,497250,4252974
c351132,207,3,3,1,351,132,506922,4252350
c351133,208,2,2,1,351,133,507234,4252350
c353098,209,1,1,1,353,98,496314,4251726
c353099,210,1,1,1,353,99,496626,4251726
c353151,211,2,2,1,353,151,512850,4251726
c353152,212,2,2,1,353,152,513162,4251726
c355154,213,1,1,1,355,154,513786,4251102
c356151,214,2,2,1,356,151,512850,4250790
c358156,215,1,1,1,358,156,514410,4250166
c359152,216,1,2,2,359,152,513162,4249854
c360152,217,2,2,1,360,152,513162,4249542
c360154,218,2,2,1,360,154,513786,4249542
c361085,219,3,3,1,361,85,492258,4249230
c361121,220,3,3,1,361,121,503490,4249230
c361122,221,3,3,1,361,122,503802,4249230
c362122,222,3,3,1,362,122,503802,4248918
c362157,223,3,3,1,362,157,514722,4248918
c363158,224,2,2,1,363,158,515034,4248606
c364151,225,2,3,2,364,151,512850,4248294
c364158,226,2,2,1,364,158,515034,4248294
c364159,227,2,2,1,364,159,515346,4248294
c366142,228,3,3,1,366,142,510042,4247670
c367129,229,3,3,1,367,129,505986,4247358
c367130,230,3,3,1,367,130,506298,4247358
c368127,231,3,3,1,368,127,505362,4247046
c368143,232,3,3,1,368,143,510354,4247046
c369130,233,3,3,1,369,130,506298,4246734
c369160,234,2,2,1,369,160,515658,4246734
c370156,235,2,2,1,370,156,514410,4246422
c374151,236,2,2,1,374,151,512850,4245174
c375158,237,2,2,1,375,158,515034,4244862
c376157,238,2,2,1,376,157,514722,4244550
c379162,239,2,2,1,379,162,516282,4243614
c380162,240,2,2,1,380,162,516282,4243302
