time,tasmin_day_CNRM-CM5_rcp45
2006-11-23 00:00:00+00:00,277.74185
2006-11-24 00:00:00+00:00,278.90677
2006-11-25 00:00:00+00:00,281.0783
2006-11-26 00:00:00+00:00,274.96265
2006-11-27 00:00:00+00:00,278.2956
2006-11-28 00:00:00+00:00,276.99033
2006-11-29 00:00:00+00:00,281.06635
2006-11-30 00:00:00+00:00,278.46732
2006-12-01 00:00:00+00:00,282.8315
2006-12-02 00:00:00+00:00,281.79437
2006-12-03 00:00:00+00:00,275.86932
2006-12-04 00:00:00+00:00,277.8779
2006-12-05 00:00:00+00:00,279.58484
2006-12-06 00:00:00+00:00,278.04514
2006-12-07 00:00:00+00:00,276.33698
2006-12-08 00:00:00+00:00,272.3565
2006-12-09 00:00:00+00:00,272.72308
2006-12-10 00:00:00+00:00,272.15283
2006-12-11 00:00:00+00:00,272.56122
2006-12-12 00:00:00+00:00,273.32336
2006-12-13 00:00:00+00:00,275.95197
2006-12-14 00:00:00+00:00,271.28427
2006-12-15 00:00:00+00:00,275.86038
2006-12-16 00:00:00+00:00,273.5559
2006-12-17 00:00:00+00:00,273.69098
2006-12-18 00:00:00+00:00,272.29544
2006-12-19 00:00:00+00:00,272.64813
2006-12-20 00:00:00+00:00,272.7104
2006-12-21 00:00:00+00:00,271.29987
2006-12-22 00:00:00+00:00,275.65665
2006-12-23 00:00:00+00:00,270.58887
2006-12-24 00:00:00+00:00,272.7946
2006-12-25 00:00:00+00:00,273.8705
2006-12-26 00:00:00+00:00,276.16873
2006-12-27 00:00:00+00:00,275.23242
2006-12-28 00:00:00+00:00,276.97586
2006-12-29 00:00:00+00:00,274.86194
2006-12-30 00:00:00+00:00,281.60333
2006-12-31 00:00:00+00:00,275.13025
2007-01-01 00:00:00+00:00,273.67352
2007-01-02 00:00:00+00:00,271.5877
2007-01-03 00:00:00+00:00,273.10092
2007-01-04 00:00:00+00:00,271.34396
2007-01-05 00:00:00+00:00,272.6976
2007-01-06 00:00:00+00:00,275.93503
2007-01-07 00:00:00+00:00,278.96268
2007-01-08 00:00:00+00:00,274.1702
2007-01-09 00:00:00+00:00,277.37302
2007-01-10 00:00:00+00:00,272.09888
2007-01-11 00:00:00+00:00,271.2123
2007-01-12 00:00:00+00:00,272.0183
2007-01-13 00:00:00+00:00,273.63354
2007-01-14 00:00:00+00:00,272.54257
2007-01-15 00:00:00+00:00,278.11096
2007-01-16 00:00:00+00:00,279.17096
2007-01-17 00:00:00+00:00,275.6035
2007-01-18 00:00:00+00:00,273.017
2007-01-19 00:00:00+00:00,278.32242
2007-01-20 00:00:00+00:00,280.00836
2007-01-21 00:00:00+00:00,279.72876
2007-01-22 00:00:00+00:00,281.2999
2007-01-23 00:00:00+00:00,281.32056
2007-01-24 00:00:00+00:00,275.36728
2007-01-25 00:00:00+00:00,275.5429
2007-01-26 00:00:00+00:00,276.60712
2007-01-27 00:00:00+00:00,281.27536
2007-01-28 00:00:00+00:00,279.97467
2007-01-29 00:00:00+00:00,281.73627
2007-01-30 00:00:00+00:00,284.13156
2007-01-31 00:00:00+00:00,281.0614
2007-02-01 00:00:00+00:00,274.63684
2007-02-02 00:00:00+00:00,272.89243
2007-02-03 00:00:00+00:00,274.90054
2007-02-04 00:00:00+00:00,276.01492
2007-02-05 00:00:00+00:00,274.54544
2007-02-06 00:00:00+00:00,274.1218
2007-02-07 00:00:00+00:00,274.66235
2007-02-08 00:00:00+00:00,276.2217
2007-02-09 00:00:00+00:00,274.24908
2007-02-10 00:00:00+00:00,275.243
2007-02-11 00:00:00+00:00,274.84296
2007-02-12 00:00:00+00:00,274.4903
2007-02-13 00:00:00+00:00,273.92065
2007-02-14 00:00:00+00:00,274.3752
2007-02-15 00:00:00+00:00,277.725
2007-02-16 00:00:00+00:00,276.15634
2007-02-17 00:00:00+00:00,277.18735
2007-02-18 00:00:00+00:00,282.36368
2007-02-19 00:00:00+00:00,279.27942
2007-02-20 00:00:00+00:00,285.03598
2007-02-21 00:00:00+00:00,279.40094
2007-02-22 00:00:00+00:00,282.55594
2007-02-23 00:00:00+00:00,282.4829
2007-02-24 00:00:00+00:00,277.5064
2007-02-25 00:00:00+00:00,275.63138
2007-02-26 00:00:00+00:00,276.0714
2007-02-27 00:00:00+00:00,278.1687
2007-02-28 00:00:00+00:00,278.9513
2007-03-01 00:00:00+00:00,277.53845
2007-03-02 00:00:00+00:00,277.34723
2007-03-03 00:00:00+00:00,278.50262
2007-03-04 00:00:00+00:00,279.38828
2007-03-05 00:00:00+00:00,275.80783
2007-03-06 00:00:00+00:00,273.9997
2007-03-07 00:00:00+00:00,277.5832
2007-03-08 00:00:00+00:00,275.4382
2007-03-09 00:00:00+00:00,278.34866
2007-03-10 00:00:00+00:00,280.12433
2007-03-11 00:00:00+00:00,276.5503
2007-03-12 00:00:00+00:00,275.02322
2007-03-13 00:00:00+00:00,276.57675
2007-03-14 00:00:00+00:00,278.70853
2007-03-15 00:00:00+00:00,279.48456
2007-03-16 00:00:00+00:00,273.3174
2007-03-17 00:00:00+00:00,274.2659
2007-03-18 00:00:00+00:00,276.41525
2007-03-19 00:00:00+00:00,276.53427
2007-03-20 00:00:00+00:00,275.30032
2007-03-21 00:00:00+00:00,273.55167
2007-03-22 00:00:00+00:00,277.523
2007-03-23 00:00:00+00:00,279.1281
2007-03-24 00:00:00+00:00,279.74274
2007-03-25 00:00:00+00:00,274.9728
2007-03-26 00:00:00+00:00,274.6438
2007-03-27 00:00:00+00:00,277.53983
2007-03-28 00:00:00+00:00,277.1662
2007-03-29 00:00:00+00:00,279.8713
2007-03-30 00:00:00+00:00,280.52493
2007-03-31 00:00:00+00:00,278.19308
2007-04-01 00:00:00+00:00,277.78262
2007-04-02 00:00:00+00:00,279.36682
2007-04-03 00:00:00+00:00,277.66318
2007-04-04 00:00:00+00:00,277.15024
2007-04-05 00:00:00+00:00,277.01694
2007-04-06 00:00:00+00:00,279.38202
2007-04-07 00:00:00+00:00,285.01132
2007-04-08 00:00:00+00:00,281.517
2007-04-09 00:00:00+00:00,278.39346
2007-04-10 00:00:00+00:00,280.83115
2007-04-11 00:00:00+00:00,278.85416
2007-04-12 00:00:00+00:00,279.49084
2007-04-13 00:00:00+00:00,280.76785
2007-04-14 00:00:00+00:00,281.57166
2007-04-15 00:00:00+00:00,280.53146
2007-04-16 00:00:00+00:00,278.38666
2007-04-17 00:00:00+00:00,279.89313
2007-04-18 00:00:00+00:00,281.00302
2007-04-19 00:00:00+00:00,281.2529
2007-04-20 00:00:00+00:00,279.80865
2007-04-21 00:00:00+00:00,280.87808
2007-04-22 00:00:00+00:00,280.73386
2007-04-23 00:00:00+00:00,281.79855
