wellnum,wellid,row,col,xcoord,ycoord
280,s4901197w2,243,125,504738,4286046
281,s4901197w3,244,129,505986,4285734
282,s4901201w1,272,152,513162,4276998
283,s4901201w2,271,149,512226,4277310
284,s4901202w1,257,119,502866,4281678
285,s4901202w2,256,120,503178,4281990
286,s4901202w3,256,120,503178,4281990
287,s4901203w1,235,118,502554,4288542
288,s4901203w2,234,118,502554,4288854
289,s4901203w3,235,118,502554,4288542
290,s4901203w4,234,118,502554,4288854
291,s4901203w5,234,118,502554,4288854
292,s4901206w1,300,150,512538,4268262
293,s4901206w2,301,147,511602,4267950
294,s4901215w1,363,150,512538,4248606
295,s4901215w2,363,150,512538,4248606
296,s4901216w1,352,98,496314,4252038
297,s4901216w2,352,97,496002,4252038
298,s4901216w3,352,98,496314,4252038
299,s4901220w1,275,147,511602,4276062
300,s4901220w2,276,146,511290,4275750
301,s4901220w3,280,144,510666,4274502
302,s4901221w1,359,151,512850,4249854
303,s4901221w2,365,141,509730,4247982
304,s4901222w1,296,154,513786,4269510
305,s4901222w2,296,154,513786,4269510
306,s4901236w1,311,158,515034,4264830
307,s4901236w2,311,158,515034,4264830
308,s4901236w3,311,157,514722,4264830
309,s4901246w1,358,151,512850,4250166
310,s4901246w2,358,151,512850,4250166
311,s4901246w3,358,151,512850,4250166
312,s4901246w4,358,151,512850,4250166
313,s4901252w1,275,138,508794,4276062
314,s4901252w2,276,137,508482,4275750
315,s4901257w1,297,156,514410,4269198
316,s4901257w2,297,156,514410,4269198
317,s4901259w1,274,166,517530,4276374
318,s4901259w2,274,167,517842,4276374
319,s4901263w1,307,146,511290,4266078
320,s4901263w2,307,146,511290,4266078
321,s4901263w3,307,146,511290,4266078
322,s4901266w1,246,131,506610,4285110
323,s4901266w2,246,131,506610,4285110
324,s4901267w1,363,158,515034,4248606
325,s4901277w1,319,153,513474,4262334
326,s4901277w2,318,153,513474,4262646
327,s4901282w1,355,150,512538,4251102
328,s4901301w1,334,143,510354,4257654
329,s4901301w2,334,143,510354,4257654
330,s4901327w1,361,156,514410,4249230
331,s4910002w1,219,110,500058,4293534
332,s4910002w10,218,110,500058,4293846
333,s4910002w11,218,110,500058,4293846
334,s4910002w2,219,110,500058,4293534
335,s4910002w3,219,110,500058,4293534
336,s4910002w4,218,110,500058,4293846
337,s4910002w5,219,110,500058,4293534
338,s4910002w6,219,111,500370,4293534
339,s4910002w7,219,110,500058,4293534
340,s4910002w8,219,110,500058,4293534
341,s4910002w9,218,110,500058,4293846
342,s4910004w1,331,118,502554,4258590
343,s4910004w2,331,118,502554,4258590
344,s4910004w3,331,118,502554,4258590
345,s4910004w4,332,113,500994,4258278
346,s4910004w5,331,117,502242,4258590
347,s4910004w6,333,105,498498,4257966
348,s4910004w7,331,117,502242,4258590
349,s4910004w8,331,117,502242,4258590
350,s4910004w9,331,117,502242,4258590
351,s4910005w1,285,155,514098,4272942
352,s4910005w10,297,148,511914,4269198
353,s4910005w11,294,156,514410,4270134
354,s4910005w12,294,156,514410,4270134
355,s4910005w13,297,148,511914,4269198
356,s4910005w14,296,148,511914,4269510
357,s4910005w15,296,148,511914,4269510
358,s4910005w16,295,148,511914,4269822
359,s4910005w17,286,154,513786,4272630
360,s4910005w18,294,155,514098,4270134
361,s4910005w19,296,148,511914,4269510
362,s4910005w2,285,155,514098,4272942
363,s4910005w20,285,155,514098,4272942
364,s4910005w3,285,155,514098,4272942
365,s4910005w4,285,155,514098,4272942
366,s4910005w5,294,155,514098,4270134
367,s4910005w6,294,155,514098,4270134
368,s4910005w7,294,155,514098,4270134
369,s4910005w8,294,155,514098,4270134
370,s4910005w9,285,156,514410,4272942
371,s4910008w1,334,142,510042,4257654
372,s4910008w2,334,142,510042,4257654
373,s4910008w3,335,141,509730,4257342
374,s4910010w1,292,163,516594,4270758
375,s4910010w2,288,161,515970,4272006
376,s4910017w1,314,155,514098,4263894
377,s4910017w2,314,155,514098,4263894
378,s4910017w3,314,155,514098,4263894
379,s4910017w4,314,155,514098,4263894
380,s4910017w5,314,155,514098,4263894
381,s4910017w6,313,155,514098,4264206
382,s4910018w1,326,114,501306,4260150
383,s4910018w2,326,114,501306,4260150
384,s4910018w3,326,113,500994,4260150
385,s4910020w1,335,143,510354,4257342
386,s4910020w10,335,146,511290,4257342
387,s4910020w11,334,146,511290,4257654
388,s4910020w12,334,146,511290,4257654
389,s4910020w13,332,153,513474,4258278
390,s4910020w14,330,148,511914,4258902
391,s4910020w15,330,147,511602,4258902
392,s4910020w16,330,147,511602,4258902
393,s4910020w17,328,148,511914,4259526
394,s4910020w18,328,148,511914,4259526
395,s4910020w19,328,148,511914,4259526
396,s4910020w2,336,144,510666,4257030
397,s4910020w3,336,145,510978,4257030
398,s4910020w4,331,147,511602,4258590
399,s4910020w5,330,147,511602,4258902
400,s4910020w6,334,146,511290,4257654
401,s4910020w7,335,146,511290,4257342
402,s4910020w8,334,146,511290,4257654
403,s4910020w9,335,146,511290,4257342
404,s4910024w1,256,140,509418,4281990
405,s4910024w2,256,140,509418,4281990
406,s4910024w3,256,140,509418,4281990
407,s4910024w4,256,141,509730,4281990
408,s4910026w1,333,130,506298,4257966
409,s4910026w2,333,129,505986,4257966
410,s4910026w3,333,129,505986,4257966
411,s4910026w4,333,130,506298,4257966
412,s4910026w5,333,129,505986,4257966
413,s4910026w6,333,129,505986,4257966
414,s4910026w7,332,128,505674,4258278
415,s4910028w1,344,109,499746,4254534
