obsnme,simval,obsval,weight,obgnme,comments
HO_104,175.98236084,169.026794434,1.0,HEADS,#
HO_105,174.29707336400003,167.771102905,1.0,HEADS,#
HO_106,171.820251465,166.303497314,1.0,HEADS,#
HO_107,171.954483032,169.649902344,1.0,HEADS,#
HO_108,175.556793213,170.872406006,1.0,HEADS,#
HO_109,176.527236938,171.620697021,1.0,HEADS,#
HO_110,176.840515137,170.513793945,1.0,HEADS,#
HO_111,177.54904174799998,171.233596802,1.0,HEADS,#
HO_112,177.657470703,171.661804199,1.0,HEADS,#
HO_113,169.491317749,168.600097656,1.0,HEADS,#
HO_114,177.51965332,171.88400268599997,1.0,HEADS,#
HO_115,245.052062988,248.59339904799998,1.0,HEADS,#
HO_116,240.581848145,237.55070495599998,1.0,HEADS,#
HO_117,240.671401978,245.390304565,1.0,HEADS,#
HO_118,231.54969787599998,233.659698486,1.0,HEADS,#
HO_119,234.16893005400001,239.38380432099999,1.0,HEADS,#
HO_120,254.497161865,250.395599365,1.0,HEADS,#
HO_121,239.0546875,237.750106812,1.0,HEADS,#
HO_122,236.82131958,315.903900146,1.0,HEADS,#
HO_123,231.08868408200001,261.981689453,1.0,HEADS,#
HO_124,276.639984131,266.22531127900004,1.0,HEADS,#
HO_125,224.745620728,273.72229003900003,1.0,HEADS,#
HO_126,229.18952941900002,236.40899658200001,1.0,HEADS,#
HO_127,213.652404785,222.768295288,1.0,HEADS,#
HO_128,209.215682983,181.57699585,1.0,HEADS,#
HO_129,234.145187378,245.484405518,1.0,HEADS,#
HO_130,206.156112671,202.239501953,1.0,HEADS,#
HO_131,224.28048706099997,229.00079345700001,1.0,HEADS,#
HO_132,213.773284912,209.31939697299998,1.0,HEADS,#
HO_133,233.882980347,239.668395996,1.0,HEADS,#
HO_134,233.56033325200002,239.430404663,1.0,HEADS,#
HO_135,209.921157837,212.78489685099998,1.0,HEADS,#
HO_136,220.220169067,216.19380188,1.0,HEADS,#
HO_137,233.60235595700001,235.840301514,1.0,HEADS,#
HO_138,215.449050903,221.04710388200002,1.0,HEADS,#
HO_139,216.69400024400002,240.238296509,1.0,HEADS,#
HO_140,216.080688477,238.408493042,1.0,HEADS,#
HO_141,236.53997802700002,243.412002563,1.0,HEADS,#
HO_142,239.706619263,216.59089660599997,1.0,HEADS,#
HO_143,244.24560546900003,246.85749816900002,1.0,HEADS,#
HO_144,217.34379577599998,219.979797363,1.0,HEADS,#
HO_145,217.092895508,235.419296265,1.0,HEADS,#
HO_146,254.01461792,261.6144104,1.0,HEADS,#
HO_147,261.043884277,258.690185547,1.0,HEADS,#
HO_148,216.654281616,223.727798462,1.0,HEADS,#
HO_149,217.17012023900003,216.577194214,1.0,HEADS,#
HO_150,229.307815552,248.27180481,1.0,HEADS,#
HO_151,231.183868408,250.716293335,1.0,HEADS,#
HO_152,195.82887268099998,189.68339538599997,1.0,HEADS,#
HO_153,188.247894287,184.069503784,1.0,HEADS,#
HO_154,189.055282593,180.046905518,1.0,HEADS,#
HO_155,189.055282593,177.786300659,1.0,HEADS,#
HO_156,189.055282593,177.568893433,1.0,HEADS,#
HO_157,189.055282593,177.361602783,1.0,HEADS,#
HO_158,207.162612915,201.250106812,1.0,HEADS,#
HO_159,207.162612915,187.113693237,1.0,HEADS,#
HO_160,207.162612915,196.24949646,1.0,HEADS,#
HO_161,304.401855469,296.00201416,1.0,HEADS,#
HO_162,218.28810119599999,211.04400634799998,1.0,HEADS,#
HO_163,212.972946167,219.070404053,1.0,HEADS,#
HO_164,212.934967041,215.00950622599998,1.0,HEADS,#
HO_165,228.633987427,231.485900879,1.0,HEADS,#
HO_166,219.36628723099997,222.935699463,1.0,HEADS,#
HO_167,276.722839355,271.630615234,1.0,HEADS,#
HO_168,274.686676025,275.42590332,1.0,HEADS,#
HO_169,282.629211426,291.707794189,1.0,HEADS,#
HO_170,282.423522949,291.217010498,1.0,HEADS,#
gflo_1,389310.0,423377.95,1.0,GgFlo,RUSSIAN_R_NR_UKIAH
gflo_2,686190.0,748235.25,1.0,GgFlo,EF_RUSSIAN_R_NR_CALPELLA
gflo_3,719610.0,780522.41,1.0,GgFlo,EF_RUSSIAN_R_NR_UKIAH
gflo_4,-999.0,935002.67,1.0,GgFlo,RUSSIAN_R_NR_TALMAG
gflo_5,1563400.0,1664231.92,1.0,GgFlo,RUSSIAN_R_NR_HOPLAND
gflo_6,2034600.0,2236198.06,1.0,GgFlo,RUSSIAN_R_NR_CLOVERDALE
gflo_7,-999.0,105951.69,1.0,GgFlo,BIG_SULPHUR_C_A_G_RESORT_NR_CLOVERDALE
gflo_8,-999.0,150280.02,1.0,GgFlo,BIG_SULPHUR_C_NR_CLOVERDALE
gflo_9,-999.0,1251431.98,1.0,GgFlo,RUSSIAN_R_GEYSERVILLE
gflo_10,-999.0,823298.52,1.0,GgFlo,RUSSIAN_R_JIMTOWN
gflo_11,-999.0,75501.21,1.0,GgFlo,MAACAMA_C_NR_KELLOGG
