Link Name,iseg,Diversion,ResRelease,AssocRes,AgDem,AssocDem
377_377_DWS,377,0,0,,0,
378_378_DWS,378,0,0,,0,
379_379_DWS,379,0,0,,0,
380_380_DWS,380,0,0,,0,
381_381_DWS,381,0,0,,0,
382_388,382,0,0,,0,
383_383_DWS,383,0,0,,0,
384_387,384,0,0,,0,
385_394,385,0,0,,0,
386_386_DWS,386,0,0,,0,
387_387_DWS,387,0,0,,0,
388_394,388,0,0,,0,
389_389_DWS,389,0,0,,0,
390_396,390,0,0,,0,
391_391_DWS,391,0,0,,0,
392_392_DWS,392,0,0,,0,
393_393_DWS,393,0,0,,0,
394_409,394,0,0,,0,
395_395_DWS,395,0,0,,0,
396_398,396,0,0,,0,
397_397_DWS,397,0,0,,0,
398_398_DWS,398,0,0,,0,
399_404,399,0,0,,0,
400_415,400,0,0,,0,
401_404,401,0,0,,0,
402_402_DWS,402,0,0,,0,
403_396,403,0,0,,0,
404_404_DWS,404,0,0,,0,
405_406,405,0,0,,0,
406_406_DWS,406,0,0,,0,
407_407_DWS,407,0,0,,0,
408_408_DWS,408,0,0,,0,
409_409_DWS,409,0,0,,0,
410_415,410,0,0,,0,
411_412,411,0,0,,0,
412_412_DWS,412,0,0,,0,
413_413_DWS,413,0,0,,0,
414_418,414,0,0,,0,
415_420,415,0,0,,0,
416_416_DWS,416,0,0,,0,
417_417_DWS,417,0,0,,0,
418_426,418,0,0,,0,
419_420,419,0,0,,0,
420_422,420,0,0,,0,
421_426,421,0,0,,0,
422_422_DWS,422,0,0,,0,
423_422,423,0,0,,0,
424_424_DWS,424,0,0,,0,
425_430,425,0,0,,0,
426_426_DWS,426,0,0,,0,
427_427_DWS,427,0,0,,0,
428_430,428,0,0,,0,
429_413,429,0,0,,0,
430_434,430,0,0,,0,
431_435,431,0,0,,0,
432_431,432,0,0,,0,
433_433_DWS,433,0,0,,0,
434_,434,0,0,,0,
435_434,435,0,0,,0,
436_436_DWS,436,0,0,,0,
437_437_DWS,437,0,0,,0,
438_438_DWS,438,0,0,,0,
439_435,439,0,0,,0,
440_440_DWS,440,0,0,,0,
441_441_DWS,441,0,0,,0,
442_442_DWS,442,0,0,,0,
443_443_DWS,443,0,0,,0,
444_444_DWS,444,0,0,,0,
445_445_DWS,445,0,0,,0,
446_72,446,0,0,,0,
447_72,447,0,0,,0,
448_273,448,0,0,,0,
449_273,449,0,0,,0,
56_DWS_450,450,1,0,,1,450
83_DWS_451,451,1,0,,1,451
134_DWS_452,452,1,0,,1,452
185_DWS_453,453,1,0,,1,453
345_DWS_454,454,1,0,,1,454
357_DWS_455,455,1,0,,1,455
408_DWS_456,456,1,0,,1,456
412_DWS_457,457,1,0,,0,
458_25,458,0,0,,0,
459_25,459,0,0,,0,
460_460_DWS,460,0,0,,0,
461_53,461,0,0,,0,
462_148,462,0,0,,0,
463_148,463,0,0,,0,
464_170,464,0,0,,0,
465_170,465,0,0,,0,
466_288,466,0,0,,0,
467_288,467,0,0,,0,
468_322,468,0,0,,0,
469_469_DWS,469,0,0,,0,
470_355,470,0,0,,0,
471_355,471,0,0,,0,
472_342,472,0,0,,0,
473_342,473,0,0,,0,
474_352,474,0,0,,0,
475_475_DWS,475,0,0,,0,
189_DWS_476,476,1,0,,1,476
187_DWS_477,477,1,0,,1,477
192_DWS_478,478,1,0,,1,478
169_DWS_479,479,1,0,,1,479
172_DWS_480,480,1,0,,1,480
174_DWS_481,481,1,0,,1,481
138_DWS_482,482,1,0,,1,482
152_DWS_483,483,1,0,,1,483
136_DWS_484,484,1,0,,1,484
158_DWS_485,485,1,0,,0,
150_DWS_486,486,1,0,,1,486
157_DWS_487,487,1,0,,1,487
170_DWS_488,488,1,0,,1,488
167_DWS_489,489,1,0,,1,489
160_DWS_490,490,1,0,,1,490
156_DWS_491,491,1,0,,1,491
153_DWS_492,492,1,0,,1,492
161_DWS_493,493,1,0,,1,493
154_DWS_494,494,1,0,,0,
155_DWS_495,495,1,0,,1,495
135_DWS_496,496,1,0,,1,496
130_DWS_497,497,1,0,,0,
129_DWS_498,498,1,0,,1,498
133_DWS_499,499,1,0,,0,
125_DWS_500,500,1,0,,1,500
128_DWS_501,501,1,0,,1,501
122_DWS_502,502,1,0,,1,502
117_DWS_503,503,1,0,,1,503
111_DWS_504,504,1,0,,1,504
109_DWS_505,505,1,0,,1,505
114_DWS_506,506,1,0,,1,506
106_DWS_507,507,1,0,,1,507
104_DWS_508,508,1,0,,1,508
102_DWS_509,509,1,0,,1,509
103_DWS_510,510,1,0,,0,
101_DWS_511,511,1,0,,1,511
