parnme,partrans,parval1,pargp,comments
ks_099,none,1,upw_ks,1380
ks_100,none,1,upw_ks,1410
ks_101,none,1,upw_ks,1420
ks_102,none,1,upw_ks,1430
ks_103,none,1,upw_ks,1440
ks_104,none,1,upw_ks,1450
ks_105,none,1,upw_ks,1460
ks_106,none,1,upw_ks,1480
ks_107,none,1,upw_ks,1490
ks_108,none,1,upw_ks,2112
ks_109,none,1,upw_ks,2113
ks_110,none,1,upw_ks,2122
ks_111,none,1,upw_ks,2123
ks_112,none,1,upw_ks,2182
ks_113,none,1,upw_ks,2183
ks_114,none,1,upw_ks,3102
ks_115,none,1,upw_ks,3103
ks_116,none,1,upw_ks,3104
ks_117,none,1,upw_ks,3112
ks_118,none,1,upw_ks,3114
ks_119,none,1,upw_ks,3122
ks_120,none,1,upw_ks,3123
ks_121,none,1,upw_ks,3124
ks_122,none,1,upw_ks,3142
ks_123,none,1,upw_ks,3152
ks_124,none,1,upw_ks,3154
ks_125,none,1,upw_ks,3162
ks_126,none,1,upw_ks,3163
ks_127,none,1,upw_ks,3164
ks_128,none,1,upw_ks,3172
ks_129,none,1,upw_ks,3173
ks_130,none,0.1,upw_ks,3174
ks_131,none,1,upw_ks,4125
ks_132,none,1,upw_ks,4135
ks_133,none,1,upw_ks,4175
ks_134,none,1,upw_ks,4185
ks_135,none,1,upw_ks,4195
ks_136,none,1,upw_ks,4215
ks_137,none,1,upw_ks,5106
ks_138,none,1,upw_ks,5108
ks_139,none,1,upw_ks,5115
ks_140,none,1,upw_ks,5118
ks_141,none,1,upw_ks,5128
ks_142,none,1,upw_ks,5145
ks_143,none,1,upw_ks,5146
ks_144,none,1,upw_ks,5147
ks_145,none,1,upw_ks,5148
ks_146,none,1,upw_ks,5158
ks_147,none,1,upw_ks,5168
ks_148,none,1,upw_ks,5178
ks_149,none,1,upw_ks,5185
ks_150,none,1,upw_ks,5188
ks_151,none,1,upw_ks,5198
ks_152,none,1,upw_ks,5208
ks_153,none,1,upw_ks,5218
ks_154,none,1,upw_ks,5228
ks_155,none,1,upw_ks,7105
ks_156,none,1,upw_ks,7106
ks_157,none,10,upw_ks,7107
ks_158,none,1,upw_ks,7115
ks_159,none,1,upw_ks,7125
ks_160,none,1,upw_ks,7126
ks_161,none,1,upw_ks,7127
ks_162,none,1,upw_ks,7146
ks_163,none,1,upw_ks,7155
ks_164,none,1,upw_ks,7156
ks_165,none,1,upw_ks,7157
ks_166,none,1,upw_ks,7165
ks_167,none,1,upw_ks,7166
ks_168,none,1,upw_ks,7167
ks_169,none,1,upw_ks,7175
ks_170,none,1,upw_ks,7176
ks_171,none,1,upw_ks,7177
ks_172,none,1,upw_ks,8115
ks_173,none,1,upw_ks,8116
ks_174,none,1,upw_ks,8118
ks_175,none,1,upw_ks,8125
ks_176,none,1,upw_ks,8126
ks_177,none,1,upw_ks,8127
ks_178,none,1,upw_ks,9175
ks_179,none,1,upw_ks,9177
ks_180,none,1,upw_ks,9185
ks_181,none,1,upw_ks,9187
ks_182,none,1,upw_ks,9188
