,id,Time,tstp,interations
55,148.0,1324.3510217666626,365.0,6856.0
45,139.0,1332.4454884529114,365.0,7707.0
173,75.0,1354.8440947532654,365.0,7269.0
147,51.0,1363.5246231555939,365.0,8119.0
193,93.0,1364.8099029064178,365.0,6997.0
188,89.0,1371.0958132743835,365.0,6452.0
156,6.0,1372.2523307800293,365.0,7392.0
99,188.0,1372.5207586288452,365.0,8381.0
154,58.0,1375.8383405208588,365.0,7949.0
121,28.0,1376.8608734607697,365.0,7328.0
136,41.0,1378.3725378513336,365.0,6930.0
49,142.0,1382.8405418395996,365.0,8368.0
1,1.0,1385.2538878917694,365.0,7917.0
149,53.0,1385.2609276771545,365.0,8235.0
31,126.0,1387.6709370613098,365.0,8815.0
195,95.0,1388.4214839935303,365.0,7238.0
146,50.0,1389.8237590789795,365.0,8330.0
127,33.0,1391.6695914268494,365.0,7099.0
24,12.0,1391.7690787315369,365.0,8288.0
177,79.0,1398.4262840747833,365.0,8680.0
47,140.0,1401.1077363491058,365.0,8419.0
100,189.0,1405.9767887592316,365.0,7067.0
158,61.0,1406.6249940395355,365.0,8323.0
179,80.0,1406.9583377838135,365.0,7541.0
33,128.0,1408.8447940349579,365.0,9005.0
131,37.0,1409.6095433235168,365.0,7308.0
98,187.0,1410.6803665161133,365.0,7111.0
185,86.0,1411.9432744979858,365.0,7124.0
46,14.0,1414.5521085262299,365.0,7683.0
92,181.0,1414.6494829654694,365.0,7348.0
53,146.0,1419.593717098236,365.0,8775.0
35,13.0,1422.6466271877289,365.0,7660.0
174,76.0,1423.8817069530487,365.0,8918.0
194,94.0,1423.9403681755066,365.0,8596.0
38,132.0,1431.4891545772552,365.0,6186.0
189,9.0,1434.366758108139,365.0,7901.0
91,180.0,1442.8238410949707,365.0,9033.0
42,136.0,1453.34667634964,365.0,8679.0
78,169.0,1456.9685118198395,365.0,8766.0
11,108.0,1478.3362097740173,365.0,7276.0
140,45.0,1479.268929719925,365.0,8992.0
171,73.0,1484.3191449642181,365.0,7517.0
104,192.0,1484.4837143421173,365.0,7780.0
192,92.0,1493.1199340820312,365.0,9694.0
58,150.0,1493.936482667923,365.0,9354.0
12,109.0,1499.4630448818207,365.0,7681.0
103,191.0,1502.1571502685547,365.0,7944.0
125,31.0,1503.3827896118164,365.0,8455.0
167,7.0,1504.279173374176,365.0,9227.0
181,82.0,1504.9533395767212,365.0,7928.0
106,194.0,1508.7202150821686,365.0,7460.0
71,162.0,1509.8753199577332,365.0,7370.0
70,161.0,1510.6878974437714,365.0,7764.0
29,124.0,1513.8713612556458,365.0,7659.0
95,184.0,1514.4863879680634,365.0,10140.0
34,129.0,1514.7464499473572,365.0,6726.0
61,153.0,1517.6885175704956,365.0,9459.0
107,195.0,1520.7566003799438,365.0,12405.0
88,178.0,1523.0393378734589,365.0,6723.0
75,166.0,1524.3509867191315,365.0,8437.0
10,107.0,1526.2778759002686,365.0,7583.0
190,90.0,1527.0447673797607,365.0,8194.0
122,29.0,1528.8550100326538,365.0,7762.0
40,134.0,1533.6699845790863,365.0,6482.0
117,24.0,1535.7308976650238,365.0,8485.0
3,100.0,1537.2175424098969,365.0,10008.0
94,183.0,1551.4740180969238,365.0,8355.0
137,42.0,1557.4026906490326,365.0,7840.0
86,176.0,1559.4808955192566,365.0,7157.0
67,159.0,1563.6144969463348,365.0,9522.0
87,177.0,1568.1694357395172,365.0,7249.0
135,40.0,1572.1851091384888,365.0,10908.0
77,168.0,1576.2165787220001,365.0,8693.0
8,105.0,1579.3918752670288,365.0,8085.0
166,69.0,1579.671109199524,365.0,8416.0
138,43.0,1584.6704709529877,365.0,8284.0
84,174.0,1587.0150656700134,365.0,7679.0
164,67.0,1590.1407613754272,365.0,8170.0
105,193.0,1592.071307182312,365.0,8125.0
26,121.0,1592.2844769954681,365.0,8324.0
175,77.0,1592.7578294277191,365.0,9579.0
89,179.0,1595.2194609642029,365.0,7386.0
160,63.0,1597.0632309913635,365.0,8115.0
17,113.0,1603.4252076148987,365.0,7276.0
21,117.0,1607.9412190914154,365.0,7131.0
139,44.0,1609.8443372249603,365.0,8319.0
5,102.0,1615.239974975586,365.0,7344.0
