year,STORAGE_IN_base,CONSTANT_HEAD_IN_base,WELLS_IN,HEAD_DEP_BOUNDS_IN_base,SPECIFIED_FLOWS_IN_base,STREAM_LEAKAGE_IN_base,UZF_RECHARGE_IN_base,GW_ET_IN_base,SURFACE_LEAKAGE_IN_base,AG_WELLS_IN,TOTAL_IN_base,STORAGE_OUT_base,CONSTANT_HEAD_OUT_base,WELLS_OUT,HEAD_DEP_BOUNDS_OUT_base,SPECIFIED_FLOWS_OUT_base,STREAM_LEAKAGE_OUT_base,UZF_RECHARGE_OUT_base,GW_ET_OUT_base,SURFACE_LEAKAGE_OUT_base,AG_WELLS_OUT,TOTAL_OUT_base,IN-OUT_base,PERCENT_DISCREPANCY_base,STORAGE_IN_unimp,CONSTANT_HEAD_IN_unimp,HEAD_DEP_BOUNDS_IN_unimp,SPECIFIED_FLOWS_IN_unimp,STREAM_LEAKAGE_IN_unimp,UZF_RECHARGE_IN_unimp,GW_ET_IN_unimp,SURFACE_LEAKAGE_IN_unimp,TOTAL_IN_unimp,STORAGE_OUT_unimp,CONSTANT_HEAD_OUT_unimp,HEAD_DEP_BOUNDS_OUT_unimp,SPECIFIED_FLOWS_OUT_unimp,STREAM_LEAKAGE_OUT_unimp,UZF_RECHARGE_OUT_unimp,GW_ET_OUT_unimp,SURFACE_LEAKAGE_OUT_unimp,TOTAL_OUT_unimp,IN-OUT_unimp,PERCENT_DISCREPANCY_unimp
1987,756018450000.0,0.0,0.0,117958050000.0,22717590000.0,467165100000.0,531641270000.0,0.0,0.0,0.0,1895500500000.0,707149500000.0,0.0,169243530000.0,135393650000.0,0.0,421981450000.0,0.0,173386990000.0,101051380000.0,180691120000.0,1888897600000.0,6602846000.0,10.08,536256680000.0,0.0,104727160000.0,21250693000.0,395140240000.0,479522750000.0,0.0,0.0,1536897400000.0,558191600000.0,0.0,151449320000.0,0.0,448689500000.0,0.0,234863300000.0,137903770000.0,1531097500000.0,5800038400.0,10.22
1988,754572850000.0,0.0,0.0,118491910000.0,23082643000.0,466625600000.0,527122040000.0,0.0,0.0,0.0,1889895000000.0,700769040000.0,0.0,172592050000.0,136143500000.0,0.0,421376400000.0,0.0,174142300000.0,99867615000.0,178490920000.0,1883381800000.0,6513189000.0,9.32,532197050000.0,0.0,104321090000.0,21413600000.0,391216500000.0,472433900000.0,0.0,0.0,1521582100000.0,548888900000.0,0.0,151265670000.0,0.0,445410400000.0,0.0,234549480000.0,135815274000.0,1515929700000.0,5652357000.0,9.31
1989,860975330000.0,0.0,0.0,136509920000.0,26863753000.0,533265650000.0,595563250000.0,0.0,0.0,0.0,2153177800000.0,792713950000.0,0.0,200840630000.0,156755600000.0,0.0,481518450000.0,0.0,199402440000.0,112661690000.0,202101920000.0,2145994700000.0,7183204400.0,9.7300005,610483200000.0,0.0,120699820000.0,25031733000.0,448964170000.0,537201900000.0,0.0,0.0,1742380700000.0,623265500000.0,0.0,175159600000.0,0.0,512660140000.0,0.0,270300740000.0,154639760000.0,1736025800000.0,6354993000.0,9.88
1990,847347250000.0,0.0,0.0,135930740000.0,27015053000.0,525181550000.0,578907400000.0,0.0,0.0,0.0,2114382100000.0,771503400000.0,0.0,202322820000.0,155827910000.0,0.0,474878250000.0,0.0,196109480000.0,109841770000.0,197071260000.0,2107554900000.0,6827155500.0,8.75,645849600000.0,0.0,129013250000.0,27023892000.0,474094760000.0,560546450000.0,0.0,0.0,1836528000000.0,650129240000.0,0.0,187191200000.0,0.0,543874250000.0,0.0,286533800000.0,162370600000.0,1830099100000.0,6428881000.0,9.47
1991,857096300000.0,0.0,0.0,139278220000.0,27934544000.0,530021020000.0,576710400000.0,0.0,0.0,0.0,2131040500000.0,770680100000.0,0.0,209565910000.0,159203950000.0,0.0,479690200000.0,0.0,198064730000.0,110129390000.0,197066230000.0,2124400400000.0,6640075000.0,8.1,653290300000.0,0.0,131993710000.0,27902409000.0,477716050000.0,558563400000.0,0.0,0.0,1849465900000.0,648489860000.0,0.0,191278970000.0,0.0,550176160000.0,0.0,290210200000.0,163118190000.0,1843273400000.0,6192513000.0,8.7300005
1992,933108900000.0,0.0,0.0,153511460000.0,31057640000.0,581670900000.0,626259260000.0,0.0,0.0,0.0,2325608100000.0,839576200000.0,0.0,233092660000.0,174745930000.0,0.0,524156570000.0,0.0,215199610000.0,119729210000.0,212033040000.0,2318533100000.0,7075021000.0,8.25,712455700000.0,0.0,145487430000.0,31029752000.0,523615440000.0,606316660000.0,0.0,0.0,2018904900000.0,705533200000.0,0.0,210423020000.0,0.0,602284160000.0,0.0,316426940000.0,177678350000.0,2012345700000.0,6559334400.0,8.79
1993,1048419300000.0,0.0,0.0,173824670000.0,35447673000.0,666135100000.0,722964600000.0,0.0,0.0,0.0,2646791400000.0,966240500000.0,0.0,265573430000.0,197337450000.0,0.0,595818400000.0,0.0,240929500000.0,136644960000.0,236116080000.0,2638660500000.0,8130961400.0,8.91,720108800000.0,0.0,147880690000.0,31802153000.0,537758330000.0,628551600000.0,0.0,0.0,2066101600000.0,729485300000.0,0.0,213667040000.0,0.0,615131400000.0,0.0,318819170000.0,182108400000.0,2059211200000.0,6890307600.0,8.71
1994,951504860000.0,0.0,0.0,158083240000.0,32471984000.0,601873100000.0,657109550000.0,0.0,0.0,0.0,2401042700000.0,872847100000.0,0.0,243662010000.0,178779700000.0,0.0,540823260000.0,0.0,217481600000.0,124259690000.0,215966520000.0,2393819800000.0,7222853600.0,7.5200005,783100100000.0,0.0,161631780000.0,35023530000.0,584313900000.0,687289100000.0,0.0,0.0,2251358500000.0,791653700000.0,0.0,233437740000.0,0.0,672723800000.0,0.0,346533400000.0,199490400000.0,2243839100000.0,7519297500.0,9.030001
1995,1119312500000.0,0.0,0.0,186210960000.0,38521045000.0,717943600000.0,800174300000.0,0.0,0.0,0.0,2862162400000.0,1052917040000.0,0.0,289522940000.0,210032310000.0,0.0,642645030000.0,0.0,254194730000.0,149477340000.0,254741120000.0,2853530500000.0,8632041000.0,8.46,820303500000.0,0.0,169816420000.0,37085990000.0,621190900000.0,745560800000.0,0.0,0.0,2393957700000.0,850353650000.0,0.0,245468820000.0,0.0,713821200000.0,0.0,362248180000.0,213746990000.0,2385638900000.0,8318845000.0,9.34
1996,1132010400000.0,0.0,0.0,187852570000.0,39117690000.0,727401800000.0,830555600000.0,0.0,0.0,0.0,2916938200000.0,1078056450000.0,0.0,294745180000.0,211670650000.0,0.0,655070400000.0,0.0,257055600000.0,154241560000.0,257373160000.0,2908213000000.0,8725176000.0,8.1,959817100000.0,0.0,197954140000.0,43572036000.0,728330860000.0,897304560000.0,0.0,0.0,2826978700000.0,1008293400000.0,0.0,286846980000.0,0.0,843203740000.0,0.0,423492300000.0,255056920000.0,2816893300000.0,10085401000.0,10.68
1997,1191083200000.0,0.0,0.0,196797900000.0,41259876000.0,764470360000.0,889058600000.0,0.0,0.0,0.0,3082670000000.0,1141854600000.0,0.0,311495200000.0,221680240000.0,0.0,692485200000.0,0.0,270124200000.0,164783230000.0,271040280000.0,3073463000000.0,9207169000.0,8.06,873426600000.0,0.0,179210850000.0,39736898000.0,661656700000.0,829453570000.0,0.0,0.0,2583484700000.0,922120700000.0,0.0,260530290000.0,0.0,771183940000.0,0.0,385173300000.0,235144480000.0,2574152600000.0,9331941000.0,9.400001
1998,1290270000000.0,0.0,0.0,212882620000.0,44927082000.0,835573450000.0,995088400000.0,0.0,0.0,0.0,3378741500000.0,1262173700000.0,0.0,339238520000.0,240067670000.0,0.0,759586600000.0,0.0,291739070000.0,183372630000.0,292376870000.0,3368555000000.0,10186433000.0,8.440001,983815300000.0,0.0,201181760000.0,44940990000.0,750473100000.0,962682360000.0,0.0,0.0,2943093600000.0,1056668400000.0,0.0,293645700000.0,0.0,878909000000.0,0.0,432126820000.0,270946800000.0,2932296600000.0,10796728000.0,10.31
1999,1249848900000.0,0.0,0.0,205741460000.0,43696340000.0,808918840000.0,983637560000.0,0.0,0.0,0.0,3291843100000.0,1229762700000.0,0.0,329967960000.0,232531840000.0,0.0,743293900000.0,0.0,282077400000.0,181634380000.0,282665550000.0,3281933800000.0,9909215000.0,7.8,990883940000.0,0.0,201739930000.0,45384070000.0,754999500000.0,988056300000.0,0.0,0.0,2981063800000.0,1068805200000.0,0.0,295776000000.0,0.0,893815950000.0,0.0,433380700000.0,278316900000.0,2970094700000.0,10969055000.0,9.99
2000,1504786600000.0,0.0,0.0,246866840000.0,52758720000.0,968954500000.0,1188215800000.0,0.0,0.0,0.0,3961582500000.0,1474890200000.0,0.0,400023980000.0,279563860000.0,0.0,896877850000.0,0.0,338658460000.0,220126530000.0,339707820000.0,3949848700000.0,11733811000.0,8.91,1073475350000.0,0.0,217545620000.0,49286300000.0,813082400000.0,1073180000000.0,0.0,0.0,3226569500000.0,1151809100000.0,0.0,320344700000.0,0.0,971105570000.0,0.0,467976130000.0,303586570000.0,3214822000000.0,11747500000.0,10.22
2001,1888040300000.0,0.0,0.0,308713720000.0,66376282000.0,1203231900000.0,1477384100000.0,0.0,0.0,0.0,4943746400000.0,1825678200000.0,0.0,507022570000.0,349742960000.0,0.0,1120482500000.0,0.0,423234540000.0,274899040000.0,428401430000.0,4929461000000.0,14285185000.0,10.44,995873260000.0,0.0,201543880000.0,45950830000.0,749357960000.0,990293000000.0,0.0,0.0,2983019000000.0,1057447900000.0,0.0,297721400000.0,0.0,901550000000.0,0.0,433605050000.0,282042200000.0,2972366400000.0,10652459000.0,8.96
2002,1464974300000.0,0.0,0.0,239544990000.0,51752575000.0,936351370000.0,1153504100000.0,0.0,0.0,0.0,3846127500000.0,1422919200000.0,0.0,395180080000.0,271237920000.0,0.0,871431860000.0,0.0,327682560000.0,213622060000.0,333006000000.0,3835079700000.0,11047748000.0,7.7999997,1031985700000.0,0.0,208795600000.0,47889064000.0,777960300000.0,1032901700000.0,0.0,0.0,3099532500000.0,1097623860000.0,0.0,309200950000.0,0.0,937931100000.0,0.0,449912830000.0,293839860000.0,3088508500000.0,11023753000.0,8.92
2003,1456715200000.0,0.0,0.0,238619950000.0,51806982000.0,934121770000.0,1156974400000.0,0.0,0.0,0.0,3838238300000.0,1420514400000.0,0.0,395240800000.0,270119910000.0,0.0,870549360000.0,0.0,326035470000.0,213575290000.0,331211400000.0,3827246600000.0,10991682000.0,7.48,1195481500000.0,0.0,242015350000.0,55824940000.0,903059200000.0,1206541000000.0,0.0,0.0,3602922000000.0,1273586800000.0,0.0,359133970000.0,0.0,1092316560000.0,0.0,522366840000.0,342789030000.0,3590193200000.0,12728844000.0,9.87
2004,3372870800000.0,0.0,0.0,551495000000.0,120387220000.0,2162227800000.0,2700996200000.0,0.0,0.0,0.0,8907977000000.0,3295837700000.0,0.0,920896400000.0,624303500000.0,0.0,2019644100000.0,0.0,755589900000.0,495425060000.0,770848900000.0,8882546000000.0,25431360000.0,16.68,1195372800000.0,0.0,241682830000.0,56094384000.0,902971300000.0,1215018700000.0,0.0,0.0,3611140000000.0,1274181700000.0,0.0,359421580000.0,0.0,1096244900000.0,0.0,524190480000.0,344232260000.0,3598271000000.0,12869059000.0,9.62
2005,1867162700000.0,0.0,0.0,305172200000.0,66974015000.0,1199729500000.0,1507894800000.0,0.0,0.0,0.0,4946933000000.0,1833479400000.0,0.0,510616630000.0,345076500000.0,0.0,1121831600000.0,0.0,417493420000.0,274415000000.0,429994340000.0,4932907000000.0,14026326000.0,8.78,1142615200000.0,0.0,231037060000.0,53946820000.0,866101170000.0,1173494800000.0,0.0,0.0,3467195200000.0,1223214800000.0,0.0,344331650000.0,0.0,1054701300000.0,0.0,501368230000.0,331212260000.0,3454828300000.0,12366930000.0,8.9800005
2006,1987790000000.0,0.0,0.0,324683400000.0,71646230000.0,1285923500000.0,1639381300000.0,0.0,0.0,0.0,5309424700000.0,1980512900000.0,0.0,542696180000.0,367559740000.0,0.0,1205173900000.0,0.0,444597670000.0,295847820000.0,457734060000.0,5294122300000.0,15302377000.0,9.25,1180388400000.0,0.0,238024200000.0,55918862000.0,898846360000.0,1232890500000.0,0.0,0.0,3606068300000.0,1276226800000.0,0.0,355740500000.0,0.0,1097639600000.0,0.0,517433260000.0,345876660000.0,3592916800000.0,13151486000.0,9.17
2007,1733867500000.0,0.0,0.0,282343470000.0,62639250000.0,1112232600000.0,1425378200000.0,0.0,0.0,0.0,4616460700000.0,1715821900000.0,0.0,470955700000.0,319525220000.0,0.0,1049721040000.0,0.0,388317500000.0,257186300000.0,401778340000.0,4603306000000.0,13155041000.0,7.72,1318129600000.0,0.0,264752100000.0,62588334000.0,996163100000.0,1374837500000.0,0.0,0.0,4016470800000.0,1415224100000.0,0.0,396828740000.0,0.0,1226156400000.0,0.0,577451800000.0,386212430000.0,4001873500000.0,14597243000.0,9.85
2008,1922504000000.0,0.0,0.0,312379830000.0,69673206000.0,1227632800000.0,1570194300000.0,0.0,0.0,0.0,5102384400000.0,1891354500000.0,0.0,522886280000.0,352915900000.0,0.0,1160076700000.0,0.0,429582650000.0,283175980000.0,448026300000.0,5088018400000.0,14366097000.0,8.12,1310139100000.0,0.0,262733230000.0,62516625000.0,986214300000.0,1359544200000.0,0.0,0.0,3981147400000.0,1397462700000.0,0.0,394680500000.0,0.0,1218091300000.0,0.0,573793300000.0,382786100000.0,3966813900000.0,14333428000.0,9.360001
2009,1916378300000.0,0.0,0.0,311162930000.0,69763555000.0,1215796100000.0,1549566200000.0,0.0,0.0,0.0,5062667000000.0,1868529100000.0,0.0,523385300000.0,350430720000.0,0.0,1149834500000.0,0.0,427217220000.0,279279630000.0,449979550000.0,5048656000000.0,14010794000.0,7.81,1348069500000.0,0.0,270653540000.0,64791634000.0,1010534600000.0,1389614900000.0,0.0,0.0,4083664000000.0,1426077800000.0,0.0,407057200000.0,0.0,1252748000000.0,0.0,590964800000.0,392375660000.0,4069223600000.0,14440677000.0,9.22
2010,1967794200000.0,0.0,0.0,320318670000.0,72183750000.0,1254455100000.0,1598828700000.0,0.0,0.0,0.0,5213580700000.0,1929624400000.0,0.0,538924580000.0,360096660000.0,0.0,1184163300000.0,0.0,437349800000.0,286794940000.0,462335900000.0,5199289600000.0,14290846000.0,7.6600003,1329113300000.0,0.0,267439830000.0,64373207000.0,1000825750000.0,1375725200000.0,0.0,0.0,4037477400000.0,1410339200000.0,0.0,402524200000.0,0.0,1240999400000.0,0.0,581406000000.0,387980030000.0,4023249000000.0,14228423000.0,8.8
2011,2086877500000.0,0.0,0.0,340625950000.0,77146915000.0,1341504200000.0,1725419600000.0,0.0,0.0,0.0,5571574500000.0,2073045100000.0,0.0,572973100000.0,383160550000.0,0.0,1267280500000.0,0.0,463704300000.0,308026050000.0,488034800000.0,5556224400000.0,15349891000.0,8.03,1473867300000.0,0.0,296850400000.0,71849650000.0,1117389000000.0,1550166400000.0,0.0,0.0,4510123000000.0,1579999800000.0,0.0,447355400000.0,0.0,1387998200000.0,0.0,643342470000.0,435240240000.0,4493936000000.0,16186769000.0,9.68
2012,2291846600000.0,0.0,501.05,374106460000.0,85153060000.0,1467386700000.0,1894203400000.0,0.0,0.0,0.0,6112696300000.0,2268666800000.0,0.0,629758300000.0,421263150000.0,0.0,1393288800000.0,0.0,509306000000.0,338903370000.0,534885760000.0,6096072000000.0,16624009000.0,8.37,1514912000000.0,0.0,304790340000.0,74157360000.0,1143410800000.0,1590537100000.0,0.0,0.0,4627808000000.0,1614564800000.0,0.0,460017040000.0,0.0,1428634900000.0,0.0,660040700000.0,448020280000.0,4611277600000.0,16529916000.0,9.700001
2013,2274862600000.0,0.0,1035.0,371338480000.0,84891845000.0,1454615800000.0,1877164400000.0,0.0,0.0,0.0,6062873000000.0,2247355300000.0,0.0,625245300000.0,418182860000.0,0.0,1382668400000.0,0.0,505720470000.0,335701020000.0,531579300000.0,6046452500000.0,16420307000.0,8.1,1498060000000.0,0.0,301327750000.0,73685750000.0,1128683800000.0,1570139700000.0,0.0,0.0,4571897000000.0,1590564500000.0,0.0,455305900000.0,0.0,1413656300000.0,0.0,653331330000.0,442818460000.0,4555677000000.0,16220340000.0,9.26
2014,2332359700000.0,0.0,1035.0,381114600000.0,87487370000.0,1480768700000.0,1903660500000.0,0.0,0.0,0.0,6185391000000.0,2278910900000.0,0.0,643413440000.0,428887500000.0,0.0,1410337600000.0,0.0,519169870000.0,341157700000.0,547053830000.0,6168931000000.0,16460136000.0,8.03,1474502100000.0,0.0,297201430000.0,73001920000.0,1105196100000.0,1531322000000.0,0.0,0.0,4481224000000.0,1549033000000.0,0.0,449219720000.0,0.0,1388955300000.0,0.0,644869460000.0,433570600000.0,4465648000000.0,15575335000.0,8.74
2015,2548128300000.0,0.0,1104.0,417002320000.0,96068130000.0,1616352500000.0,2066865700000.0,0.0,0.0,0.0,6744416700000.0,2480722700000.0,0.0,703771840000.0,468441920000.0,0.0,1535240200000.0,0.0,566975140000.0,369389300000.0,602042600000.0,6726583600000.0,17833165000.0,8.48,1507499700000.0,0.0,304569000000.0,75118770000.0,1129448000000.0,1558754800000.0,0.0,0.0,4575390600000.0,1577443700000.0,0.0,460248840000.0,0.0,1419178400000.0,0.0,661281200000.0,441357400000.0,4559509400000.0,15880897000.0,8.73
2016,2529329700000.0,0.0,1069.5,414683230000.0,95862360000.0,1605474500000.0,2045307900000.0,0.0,0.0,0.0,6690657300000.0,2460887000000.0,0.0,698760950000.0,464697700000.0,0.0,1519067500000.0,0.0,563105960000.0,363676730000.0,602867200000.0,6673063000000.0,17594500000.0,8.07,1602751000000.0,0.0,324573460000.0,80373480000.0,1202778400000.0,1655611900000.0,0.0,0.0,4866088400000.0,1676930700000.0,0.0,490256200000.0,0.0,1509289200000.0,0.0,705051600000.0,467757830000.0,4849285500000.0,16802890000.0,9.0199995
2017,2341351700000.0,0.0,966.0,383971230000.0,89070900000.0,1496967300000.0,1923563400000.0,0.0,0.0,0.0,6234924600000.0,2310860200000.0,0.0,644792250000.0,429629240000.0,0.0,1411280000000.0,0.0,522456000000.0,338626280000.0,560634300000.0,6218278500000.0,16646291000.0,7.55,1579558800000.0,0.0,319638440000.0,79479790000.0,1192752700000.0,1655605200000.0,0.0,0.0,4827034700000.0,1674184900000.0,0.0,482930160000.0,0.0,1493499800000.0,0.0,696164600000.0,463382000000.0,4810161500000.0,16873341000.0,8.75
2018,2649429000000.0,0.0,1069.5,434686330000.0,101153850000.0,1690063100000.0,2180130800000.0,0.0,0.0,0.0,7055463000000.0,2613754700000.0,0.0,726869400000.0,486024580000.0,0.0,1597933400000.0,0.0,592883000000.0,382929930000.0,636387460000.0,7036782000000.0,18680890000.0,8.24,1682204700000.0,0.0,340016370000.0,84877110000.0,1265654800000.0,1763664000000.0,0.0,0.0,5136417000000.0,1777422200000.0,0.0,514104700000.0,0.0,1591212000000.0,0.0,742805540000.0,493023820000.0,5118568000000.0,17848795000.0,9.099999
2019,86536650000.0,0.0,34.5,14200069000.0,3309976800.0,55096795000.0,70902090000.0,0.0,0.0,0.0,230045580000.0,85058880000.0,0.0,23682000000.0,15865480000.0,0.0,52118356000.0,0.0,19390423000.0,12459582000.0,20865149000.0,229439880000.0,605700100.0,0.26,65470930000.0,0.0,13232800000.0,3309976800.0,49176273000.0,68386136000.0,0.0,0.0,199576130000.0,68918170000.0,0.0,20014942000.0,0.0,61888606000.0,0.0,28930460000.0,19135148000.0,198887330000.0,688799740.0,0.35
