obsnme,simval,obsval,weight,obgnme,comments
HO_72,241.99987793,238.963195801,1.0,HEADS,#
HO_73,247.593429565,234.057495117,1.0,HEADS,#
HO_74,220.314651489,219.538299561,1.0,HEADS,#
HO_75,220.350509644,220.830505371,1.0,HEADS,#
HO_76,239.890686035,256.07409668,1.0,HEADS,#
HO_77,225.554519653,229.424804688,1.0,HEADS,#
HO_78,223.975265503,230.248001099,1.0,HEADS,#
HO_79,222.93927002,226.520095825,1.0,HEADS,#
HO_80,239.291351318,258.186309814,1.0,HEADS,#
HO_81,215.792999268,220.44960022,1.0,HEADS,#
HO_82,211.491882324,217.594802856,1.0,HEADS,#
HO_83,215.117431641,205.736999512,1.0,HEADS,#
HO_84,201.763961792,199.042007446,1.0,HEADS,#
HO_85,196.204940796,204.353805542,1.0,HEADS,#
HO_86,221.20413208,219.514892578,1.0,HEADS,#
HO_87,225.58581543,237.576904297,1.0,HEADS,#
HO_88,227.628234863,232.421096802,1.0,HEADS,#
HO_89,229.403701782,238.891693115,1.0,HEADS,#
HO_90,199.087173462,189.36000061,1.0,HEADS,#
HO_91,215.432769775,200.199798584,1.0,HEADS,#
HO_92,199.065475464,199.727798462,1.0,HEADS,#
HO_93,210.963348389,196.187606812,1.0,HEADS,#
HO_94,180.764709473,184.282104492,1.0,HEADS,#
HO_95,163.830322266,165.550598145,1.0,HEADS,#
HO_96,148.234146118,119.11579895,1.0,HEADS,#
HO_97,153.579162598,161.82510376,1.0,HEADS,#
HO_98,159.159622192,155.513504028,1.0,HEADS,#
HO_99,161.157730103,162.746398926,1.0,HEADS,#
HO_100,190.856964111,196.154006958,1.0,HEADS,#
HO_101,163.009750366,160.181503296,1.0,HEADS,#
HO_102,163.028610229,161.900604248,1.0,HEADS,#
HO_103,177.17288208,176.052505493,1.0,HEADS,#
HO_104,174.134933472,169.026794434,1.0,HEADS,#
HO_105,173.11151123,167.771102905,1.0,HEADS,#
HO_106,171.52456665,166.303497314,1.0,HEADS,#
HO_107,171.059539795,169.649902344,1.0,HEADS,#
HO_108,175.055557251,170.872406006,1.0,HEADS,#
HO_109,175.66255188,171.620697021,1.0,HEADS,#
HO_110,176.034469604,170.513793945,1.0,HEADS,#
HO_111,174.474395752,171.233596802,1.0,HEADS,#
HO_112,177.216186523,171.661804199,1.0,HEADS,#
HO_113,157.983978271,168.600097656,1.0,HEADS,#
HO_114,175.51399231,171.884002686,1.0,HEADS,#
HO_115,243.281860352,248.593399048,1.0,HEADS,#
HO_116,238.101974487,237.550704956,1.0,HEADS,#
