totim,name,ZONE_1,ZONE_2,ZONE_3,ZONE_4,ZONE_5,ZONE_6,ZONE_7,ZONE_8,ZONE_9,ZONE_10,ZONE_11,ZONE_12,ZONE_13,ZONE_14,ZONE_15,ZONE_16,ZONE_17,ZONE_18,ZONE_19,ZONE_20,ZONE_21,ZONE_22
1.0,TO_ZONE_5,0.0,0.0,0.0,14473.275,0.0,75.98917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,TO_ZONE_6,0.0,0.0,0.0,0.0,3315.9565,0.0,0.0,0.02395507,13.926034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06453289
1.0,TO_ZONE_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.014706,0.0,0.0,0.003259803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,TO_ZONE_8,0.0,0.0,0.0,0.0,0.0,0.011605381,350.21127,0.0,457.4354,0.009693346,0.00317447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,TO_ZONE_9,0.0,0.0,0.0,0.0,0.0,540.2905,0.0,582.547,0.0,54.25627,0.0,0.0,0.0,0.015564511,0.0062834187,0.0,0.0,0.0,0.0,0.0,0.0,0.053031083
1.0,TO_ZONE_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07348848,1096.4669,0.0,0.019755691,12.260586,0.0,0.0,0.0042798193,29.374247,0.0,0.0,0.0,0.0,0.0,0.0
1.0,TO_ZONE_11,0.0,0.0,0.0,0.0,0.0,0.0,0.0022715833,0.033797227,0.0,0.003609486,0.0,4474.674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,TO_ZONE_12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6327.677,6155.231,0.0,77.76068,0.0,0.0,24.739525,0.0038246913,0.0,0.0,0.0,0.0,0.0
1.0,TO_ZONE_13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852.568,0.0,0.0,0.0,0.0,1.5446641,0.0,0.0,0.0,0.0,0.0
1.0,TO_ZONE_14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03884769,0.0,0.0,0.0,0.0,0.0,1.054182,0.10591452,0.0,0.0,0.0,0.113988034,0.0,42977.453
1.0,TO_ZONE_15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01123031,0.0002737605,0.0,0.0,0.0,1589.0457,0.0,99.46208,0.0,0.0,0.0,0.0,0.0,0.0
