parnme,partrans,parval1,pargp,comments
ks_22,none,  4.5048174E-01,upw_ks,344
ks_23,none,  2.4975906E+02,upw_ks,352
ks_24,none,  4.9391001E-02,upw_ks,353
ks_25,none,  8.7109677E-02,upw_ks,354
ks_26,none,  4.9748383E+02,upw_ks,362
ks_27,none,  7.6468587E-01,upw_ks,364
ks_28,none,  3.9493260E-01,upw_ks,392
ks_29,none,  3.2733135E+00,upw_ks,394
ks_30,none,  1.0045880E-05,upw_ks,415
ks_31,none,  2.6317680E+00,upw_ks,418
ks_32,none,  1.9979430E-04,upw_ks,425
ks_33,none,  9.8524258E-02,upw_ks,435
ks_34,none,  5.2214600E+01,upw_ks,437
ks_35,none,  1.9639252E-04,upw_ks,465
ks_36,none,  6.0314778E-04,upw_ks,495
ks_37,none,  2.2559940E-04,upw_ks,515
ks_38,none,  2.1451019E-01,upw_ks,518
ks_39,none,  1.9583470E-04,upw_ks,525
ks_40,none,  6.4925689E-01,upw_ks,528
ks_41,none,  1.1427100E+00,upw_ks,537
ks_42,none,  2.2555220E+00,upw_ks,538
ks_43,none,  2.6944634E-01,upw_ks,548
ks_44,none,  4.9167532E-01,upw_ks,558
ks_45,none,  1.6107090E-02,upw_ks,565
ks_46,none,  1.6488961E+00,upw_ks,568
ks_47,none,  5.3768997E+00,upw_ks,578
ks_48,none,  8.4400244E+00,upw_ks,588
ks_49,none,  2.0774148E-04,upw_ks,595
ks_50,none,  2.9660580E+00,upw_ks,598
ks_51,none,  4.5866575E-05,upw_ks,615
ks_52,none,  3.4408271E-02,upw_ks,617
ks_53,none,  4.9456186E+00,upw_ks,618
ks_54,none,  1.7738681E-02,upw_ks,625
ks_55,none,  2.0902399E+01,upw_ks,627
ks_56,none,  7.2837601E+01,upw_ks,628
ks_57,none,  5.9373164E+00,upw_ks,637
ks_58,none,  3.0982476E-01,upw_ks,645
ks_59,none,  6.2460550E-03,upw_ks,647
ks_60,none,  5.0452199E+00,upw_ks,648
ks_61,none,  2.8437350E-02,upw_ks,655
ks_62,none,  2.7762988E-01,upw_ks,657
ks_63,none,  1.0573019E+01,upw_ks,658
ks_64,none,  6.1781763E-04,upw_ks,665
ks_65,none,  1.8933472E-03,upw_ks,667
ks_66,none,  5.5266800E+00,upw_ks,668
ks_67,none,  8.8013153E+00,upw_ks,795
ks_68,none,  9.2353104E-03,upw_ks,796
ks_69,none,  7.3816764E-01,upw_ks,797
ks_70,none,  3.7703547E+00,upw_ks,798
ks_71,none,  1.0141900E-05,upw_ks,1010
ks_72,none,  8.7686225E-05,upw_ks,1020
ks_73,none,  1.1277541E-04,upw_ks,1030
ks_74,none,  9.3314673E-05,upw_ks,1040
ks_75,none,  1.4163903E-05,upw_ks,1050
ks_76,none,  1.9211398E-04,upw_ks,1060
ks_77,none,  1.0227660E-04,upw_ks,1070
ks_78,none,  1.6187638E-05,upw_ks,1080
ks_79,none,  1.0020761E-05,upw_ks,1090
ks_80,none,  2.6143680E+02,upw_ks,1101
ks_81,none,  9.0437832E-05,upw_ks,1110
ks_82,none,  2.3172621E+01,upw_ks,1121
ks_83,none,  6.5732050E+00,upw_ks,1131
ks_84,none,  9.0505564E-05,upw_ks,1140
ks_85,none,  1.2939310E-05,upw_ks,1150
ks_86,none,  1.3227719E-04,upw_ks,1160
ks_87,none,  4.9628159E+02,upw_ks,1171
ks_88,none,  1.6474350E+01,upw_ks,1181
ks_89,none,  8.0247555E-05,upw_ks,1190
ks_90,none,  4.4840055E+00,upw_ks,1191
ks_91,none,  1.4463018E+01,upw_ks,1211
ks_92,none,  1.1398448E-04,upw_ks,1220
