,obsname,well_id,num_meas,min,max,mean,std,median,grid_top_elev,grid_bot_elev,layer,row,col
32,HO_32,385996N1227481W001,10,-0.8655870517578137,28.090412948242175,10.088924948242184,7.764676953585125,7.013492948242188,100.19999694824219,-169.8000030517578,1,297,186
33,HO_33,386104N1227706W001,16,20.037838626708982,41.22143862670899,31.262098626708983,5.107054522951563,32.61083862670898,44.939998626708984,-207.66000366210938,1,293,180
34,HO_34,386350N1227869W001,47,45.54736030517578,48.10768030517578,47.25748285836726,0.6529436216334296,47.28472030517578,51.43000030517578,-167.8699951171875,1,284,175
35,HO_35,386389N1227710W001,50,32.23063505175781,47.40967505175781,39.246521451757815,4.499765775654088,37.65455105175781,82.80000305175781,-187.1999969482422,1,283,180
36,HO_36,385038N1228843W001,2065,-8.987028047302246,5.882944752697753,-1.4093456527259756,1.1518465387260775,-1.328928047302247,8.229599952697754,-109.90999603271484,2,333,147
37,HO_37,385133N1228686W001,2023,9.233183465942382,18.072383465942384,10.144470226990332,0.8266228439596757,9.906791465942382,18.809999465942383,-51.19000244140625,1,329,151
38,HO_38,386178N1226833W001,10,125.82210461035156,132.57037661035156,130.68122621035155,2.1001179185691066,131.37860861035156,132.61000061035156,25.71000099182129,1,290,205
39,HO_39,386391N1226892W001,14,110.76047877929688,128.29562277929688,122.09707935072547,6.730933337629078,125.87551077929687,129.77999877929688,38.07999801635742,0,283,203
40,HO_40,010N009W18B001M,36,62.4385615258789,66.4924015258789,64.14882819254557,0.993156962060322,64.3435615258789,70.1500015258789,-8.54999828338623,2,252,143
41,HO_41,010N009W18P001M,1,58.44976030517578,58.44976030517578,58.44976030517578,0.0,58.44976030517578,64.18000030517578,-121.62000274658203,1,256,141
42,HO_42,010N010W14R001M,1,93.16122461035155,93.16122461035155,93.16122461035155,0.0,93.16122461035155,114.61000061035156,39.61000061035156,2,256,134
43,HO_43,010N010W26M001M,50,40.931761525878905,43.7054415258789,41.6590143258789,0.4600767957071516,41.60232152587891,45.900001525878906,-149.6999969482422,0,267,129
44,HO_44,010N010W34R001M,1,66.64294125341797,66.64294125341797,66.64294125341797,0.0,66.64294125341797,93.37999725341797,18.37999725341797,2,273,128
45,HO_45,010N010W22D001M,4,54.73144076293946,54.914320762939454,54.81526076293945,0.06599113576837365,54.80764076293946,58.45000076293945,-175.64999389648438,0,258,124
46,HO_46,011N010W08P001M,50,90.01168274658203,93.85216274658202,91.13499266658204,0.6571367011947463,91.07848274658204,95.62000274658203,31.62000274658203,0,220,114
