name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
ks_181,-1.53621,1.92474,-5.3857,2.31327,-1.90611,0.374671,-2.65545,-1.15677
ks_182,0.686639,1.92474,-3.16285,4.53612,0.719458,1.92474,-3.13003,4.56894
ks_183,-0.0165486,1.92474,-3.86603,3.83294,-0.00164134,1.92474,-3.85113,3.84784
ks_184,-3.39374,1.92474,-7.24322,0.455749,-3.47656,1.91994,-7.31643,0.36332
ks_185,-4.02,2.17474,-8.36948,0.329488,-4.02025,2.17106,-8.36237,0.321879
ks_186,-4.00789,2.17474,-8.35737,0.341596,-4.00815,2.17102,-8.35018,0.333886
ks_187,-3.96139,1.92474,-7.81088,-0.111907,-3.96163,1.92204,-7.8057,-0.117551
ks_188,-3.40802,1.92474,-7.25751,0.441464,-3.44697,1.92002,-7.28701,0.393077
ks_189,-3.94008,1.92474,-7.78957,-0.0905996,-3.94033,1.92198,-7.78429,-0.0963703
ks_19,1.65044,1.92474,-2.19905,5.49992,1.66232,1.92474,-2.18716,5.51181
ks_190,-5,2.17474,-9.34949,-0.650515,-5.01642,2.17322,-9.36286,-0.669977
ks_191,-3.9963,1.92474,-7.84578,-0.146813,-3.99653,1.92213,-7.84079,-0.152271
ks_192,-3.89064,1.92474,-7.74012,-0.0411525,-3.91527,1.92191,-7.75908,-0.0714543
ks_193,-3.69064,1.92474,-7.54012,0.158847,-2.83954,1.87234,-6.58422,0.905137
ks_194,-5,2.17474,-9.34949,-0.650515,-5.01974,2.17322,-9.36619,-0.673292
ks_195,-3.11118,1.92474,-6.96066,0.738308,-3.17169,1.91817,-7.00804,0.664654
ks_196,-5,2.17474,-9.34949,-0.650515,-5.01811,2.17322,-9.36456,-0.671669
ks_197,-3.8826,1.92474,-7.73209,-0.0331177,-4.08734,1.92234,-7.93202,-0.242665
ks_198,-3.77179,1.92474,-7.62127,0.0776954,-3.7697,1.8832,-7.53609,-0.00330867
ks_199,-4.95078,2.17474,-9.30027,-0.601297,-4.96537,2.17316,-9.31169,-0.619057
ks_2,-1.52414,1.92474,-5.37363,2.32534,-1.63783,1.86091,-5.35965,2.08398
ks_20,-0.424999,1.92474,-4.27448,3.42449,0.220436,0.491788,-0.763139,1.20401
ks_200,-4.9914,2.17474,-9.34088,-0.641915,-5.01546,2.17322,-9.3619,-0.669025
ks_201,-5,2.17474,-9.34949,-0.650515,-5.01957,2.17322,-9.36602,-0.673124
ks_202,-3.99385,1.92474,-7.84333,-0.144361,-3.99431,1.92175,-7.8378,-0.150822
ks_203,-3.94427,1.92474,-7.79376,-0.0947889,-3.9445,1.92199,-7.78848,-0.100524
ks_204,-4.00568,2.17474,-8.35517,0.343802,-4.00211,2.171,-8.34412,0.339899
ks_205,-3.98455,1.92474,-7.83403,-0.135063,-3.98517,1.92019,-7.82555,-0.144787
ks_206,-5,2.17474,-9.34949,-0.650515,-5.01661,2.17322,-9.36305,-0.670163
ks_207,-3.99242,1.92474,-7.84191,-0.142938,-3.99277,1.92211,-7.83699,-0.14854
ks_208,-4.86012,2.17474,-9.20961,-0.510636,-4.88468,2.16434,-9.21335,-0.556012
ks_209,-3.5312,1.92474,-7.38068,0.318287,-3.57903,1.87626,-7.33156,0.173494
ks_21,-0.165866,1.92474,-4.01535,3.68362,-0.0150205,1.85274,-3.7205,3.69046
ks_210,-4.06198,2.17474,-8.41147,0.287504,-4.06208,2.17121,-8.4045,0.28034
ks_211,-4.05502,2.17474,-8.40451,0.294461,-4.05554,2.17119,-8.39792,0.286831
ks_212,-3.98912,1.92474,-7.8386,-0.139634,-4.40903,1.88586,-8.18075,-0.637304
ks_213,-4.01954,2.17474,-8.36903,0.329943,-4.01989,2.17106,-8.36201,0.322232
ks_214,-4.00393,2.17474,-8.35341,0.345559,-4.0039,2.171,-8.34591,0.338099
ks_215,-4.00833,2.17474,-8.35782,0.341154,-4.00859,2.17087,-8.35033,0.333154
ks_216,-3.99891,1.92474,-7.84839,-0.149422,-3.99917,1.92214,-7.84345,-0.154895
ks_217,-4.02595,2.17474,-8.37543,0.323536,-4.26739,2.01953,-8.30645,-0.228343
ks_218,-4.28651,2.17474,-8.63599,0.0629755,-4.28725,2.17191,-8.63106,0.0565575
ks_219,-3.98377,1.92474,-7.83325,-0.134284,-3.98419,1.9221,-7.82839,-0.139996
ks_22,-0.334704,1.92474,-4.18419,3.51478,-0.326654,0.324254,-0.975162,0.321855
ks_220,-4.03527,2.17474,-8.38475,0.314216,-4.03554,2.17112,-8.37778,0.306693
ks_221,-3.87437,1.92474,-7.72385,-0.0248809,-3.90384,1.92187,-7.74759,-0.0600959
ks_222,-3.96355,1.92474,-7.81304,-0.114066,-3.97848,1.92208,-7.82264,-0.134312
ks_223,-3.9372,1.92474,-7.78668,-0.0877112,-3.99578,1.92195,-7.83967,-0.151883
ks_224,-4.00087,2.17474,-8.35035,0.348616,-4.00118,2.17099,-8.34316,0.340805
ks_225,-4.99568,2.17474,-9.34516,-0.646194,-5.00949,2.17321,-9.35591,-0.663064
ks_226,-3.97749,1.92474,-7.82697,-0.128,-3.9777,1.9215,-7.8207,-0.134705
ks_227,-4.06248,2.17474,-8.41197,0.287003,-4.06283,2.17108,-8.40498,0.279325
ks_228,-4.05799,2.17474,-8.40748,0.291493,-4.20385,2.12473,-8.45331,0.04561
ks_229,-3.37174,1.92474,-7.22122,0.477749,-3.4088,1.9198,-7.2484,0.430806
ks_23,2.40686,1.92474,-1.44262,6.25635,2.55921,1.01894,0.521326,4.59709
ks_230,-4.98297,2.17474,-9.33245,-0.633482,-4.83334,0.477758,-5.78885,-3.87782
ks_231,-4.47237,2.17474,-8.82186,-0.122885,-4.10587,1.62553,-7.35693,-0.854806
ks_232,-3.45077,1.92474,-7.30026,0.39871,-3.45142,1.92005,-7.29153,0.388685
ks_233,-4.21753,2.17474,-8.56701,0.131958,-4.24213,2.06417,-8.37047,-0.113801
ks_24,-1.3094,1.92474,-5.15888,2.54009,-1.30851,1.91086,-5.13022,2.5132
ks_25,-1.06091,1.92474,-4.9104,2.78857,-1.07884,1.65008,-4.37899,2.22131
ks_26,2.69897,2.17474,-1.65051,7.04846,3.67176,2.13023,-0.588701,7.93221
ks_27,-0.135236,1.92474,-3.98472,3.71425,-0.686359,1.02849,-2.74334,1.37062
ks_28,-0.405017,1.92474,-4.2545,3.44447,-0.457108,0.45106,-1.35923,0.445011
ks_29,0.51008,1.92474,-3.33941,4.35956,0.529573,1.09033,-1.65108,2.71023
ks_3,-0.14415,1.92474,-3.99364,3.70533,-0.111755,1.8513,-3.81435,3.59084
ks_30,-5,2.17474,-9.34949,-0.650515,-5.01376,2.17322,-9.36019,-0.667322
ks_31,0.420288,1.92474,-3.4292,4.26977,0.435259,1.91504,-3.39482,4.26534
ks_32,-3.69973,1.92474,-7.54922,0.149752,-3.72287,1.92128,-7.56543,0.119678
ks_33,-1.00578,1.92474,-4.85526,2.84371,-0.9913,1.92472,-4.84075,2.85815
ks_34,1.70076,1.92474,-2.14872,5.55025,1.70716,1.92466,-2.14217,5.55649
ks_35,-3.70884,1.92474,-7.55833,0.140643,-3.74193,1.92135,-7.58462,0.100763
ks_36,-3.22172,1.92474,-7.0712,0.627766,-3.31476,1.91483,-7.14441,0.514896
ks_37,-3.64866,1.92474,-7.49815,0.200823,-3.68334,1.92109,-7.52552,0.15885
ks_38,-0.655784,1.92474,-4.50527,3.1937,-1.09539,1.33899,-3.77338,1.58259
ks_39,-3.70837,1.92474,-7.55785,0.141118,-3.70915,1.92123,-7.5516,0.133302
ks_4,0.945145,1.92474,-2.90434,4.79463,1.83603,1.0652,-0.294371,3.96642
ks_40,-0.185744,1.92474,-4.03523,3.66374,0.0710561,1.82631,-3.58156,3.72368
ks_41,0.0579143,1.92474,-3.79157,3.9074,0.0730009,1.92474,-3.77648,3.92249
ks_42,0.35467,1.92474,-3.49482,4.20415,0.378483,1.91803,-3.45757,4.21454
ks_43,-0.570247,1.92474,-4.41973,3.27924,-1.05871,1.72474,-4.50819,2.39078
ks_44,-0.300967,1.92474,-4.15045,3.54852,-0.523906,1.60517,-3.73425,2.68644
ks_45,-1.79569,1.92474,-5.64518,2.05379,-1.91997,0.604819,-3.1296,-0.710328
ks_46,0.183356,1.92474,-3.66613,4.03284,-0.738676,0.233238,-1.20515,-0.2722
ks_47,0.749327,1.92474,-3.10016,4.59881,0.751003,1.9247,-3.09839,4.60039
ks_48,0.956759,1.92474,-2.89273,4.80624,0.962049,0.765127,-0.568204,2.4923
ks_49,-3.68475,1.92474,-7.53423,0.164737,-3.75527,1.92104,-7.59735,0.0868096
ks_5,1.6829,1.92474,-2.16659,5.53238,2.2016,0.99471,0.212181,4.19102
ks_50,0.467749,1.92474,-3.38174,4.31723,0.594855,1.91985,-3.24485,4.43456
ks_51,-4.33913,2.17474,-8.68862,0.0103505,-4.37272,2.17112,-8.71495,-0.030487
ks_52,-2.46311,1.92474,-6.3126,1.38637,-2.47333,0.0370808,-2.54749,-2.39916
ks_53,0.693438,1.92474,-3.15605,4.54292,0.708708,1.92205,-3.13538,4.5528
ks_54,-1.75072,1.92474,-5.6002,2.09877,-1.73061,1.91281,-5.55623,2.09501
