name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
KS_195,-3.11033,1.92474,-6.95982,0.739151,-3.11033,1.92474,-6.9598,0.739137
KS_196,-4.99964,1.92474,-8.84913,-1.15016,-4.99966,1.72234,-8.44435,-1.55498
KS_197,-3.88241,1.92474,-7.7319,-0.0329255,-3.88241,1.92473,-7.73187,-0.0329518
KS_198,-3.77316,1.92474,-7.62265,0.0763231,-3.77316,1.92347,-7.62011,0.0737847
KS_199,-4.95268,1.92474,-8.80217,-1.1032,-4.95269,1.9188,-8.79028,-1.11509
KS_2,-1.50716,1.92474,-5.35664,2.34233,-1.50716,1.90448,-5.31612,2.3018
KS_20,-0.473088,1.92474,-4.32257,3.3764,-0.473082,1.55217,-3.57742,2.63126
KS_200,-4.99061,1.92474,-8.84009,-1.14112,-4.99061,1.92025,-8.8311,-1.15011
KS_201,-4.95308,1.92474,-8.80256,-1.10359,-4.9531,1.91403,-8.78115,-1.12504
KS_202,-3.99335,1.92474,-7.84283,-0.143861,-3.99335,1.92474,-7.84282,-0.143876
KS_203,-3.94396,1.92474,-7.79344,-0.0944747,-3.94396,1.92473,-7.79343,-0.0944903
KS_204,-4.00429,1.92474,-7.85378,-0.154809,-4.00429,1.91434,-7.83297,-0.175615
KS_205,-3.98267,1.92474,-7.83216,-0.133189,-3.98267,1.90853,-7.79973,-0.165622
KS_206,-4.99982,1.92474,-8.8493,-1.15033,-4.99983,1.76975,-8.53933,-1.46032
KS_207,-3.99029,1.92474,-7.83978,-0.140809,-3.99029,1.92472,-7.83974,-0.14085
KS_208,-4.8584,1.92474,-8.70789,-1.00892,-4.8584,1.92052,-8.69945,-1.01736
KS_209,-3.53064,1.92474,-7.38012,0.318846,-3.53064,1.90771,-7.34606,0.284781
KS_21,-0.175467,1.92474,-4.02495,3.67402,-0.175466,1.89578,-3.96702,3.61609
KS_210,-4.06169,1.92474,-7.91117,-0.212202,-4.06169,1.92474,-7.91117,-0.212202
KS_211,-4.0547,1.92474,-7.90418,-0.205215,-4.0547,1.91434,-7.88339,-0.226011
KS_212,-3.9888,1.92474,-7.83829,-0.139318,-3.9888,1.92474,-7.83829,-0.139318
KS_213,-4.01923,1.92474,-7.86871,-0.169741,-4.01923,1.92474,-7.86871,-0.169741
KS_214,-4.00366,1.92474,-7.85315,-0.154179,-4.00366,1.91434,-7.83235,-0.174975
KS_215,-4.00797,1.92474,-7.85746,-0.158485,-4.00797,1.92474,-7.85746,-0.158485
KS_216,-3.99863,1.92474,-7.84811,-0.149141,-3.99863,1.92429,-7.84721,-0.150038
KS_217,-4.01612,1.92474,-7.8656,-0.166631,-4.01612,1.91472,-7.84555,-0.186681
KS_218,-4.2796,1.92474,-8.12909,-0.430116,-4.2796,1.92474,-8.12907,-0.430131
KS_219,-3.98343,1.92474,-7.83291,-0.13394,-3.98343,1.92473,-7.8329,-0.133955
KS_22,-0.346323,1.92474,-4.19581,3.50316,-0.346298,0.612027,-1.57035,0.877756
KS_220,-4.03383,1.92474,-7.88332,-0.184347,-4.03383,1.91423,-7.8623,-0.205365
KS_221,-3.87414,1.92474,-7.72363,-0.0246551,-3.87414,1.92473,-7.72361,-0.0246709
KS_222,-3.96321,1.92474,-7.81269,-0.113724,-3.96321,1.92474,-7.81269,-0.113724
KS_223,-3.9337,1.92474,-7.78318,-0.0842148,-3.9337,1.58237,-7.09844,-0.768959
KS_224,-4.00024,1.92474,-7.84972,-0.150753,-4.00024,1.92474,-7.84971,-0.150768
KS_225,-4.99757,1.92474,-8.84705,-1.14808,-4.99757,1.92474,-8.84705,-1.14809
KS_226,-3.9749,1.92474,-7.82438,-0.125415,-3.9749,1.91434,-7.80359,-0.146214
KS_227,-4.06114,1.92474,-7.91063,-0.211655,-4.06114,1.75155,-7.56423,-0.558045
KS_228,-4.05151,1.92474,-7.901,-0.202027,-4.05151,1.91013,-7.87178,-0.231244
KS_229,-3.36982,1.92474,-7.2193,0.479667,-3.36982,1.91274,-7.19529,0.455659
KS_23,2.39752,1.92474,-1.45196,6.24701,2.39753,1.49551,-0.593491,5.38855
KS_230,-4.99462,1.92474,-8.8441,-1.14513,-4.99462,1.60944,-8.2135,-1.77574
KS_231,-4.52674,1.92474,-8.37622,-0.677252,-4.52671,0.37667,-5.28005,-3.77337
