name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
KS_78,-4.79048,1.92474,-8.63997,-0.941,-4.79071,0.323786,-5.43828,-4.14314
KS_79,-5,1.92474,-8.84949,-1.15051,-5,1.55576,-8.11151,-1.88849
KS_8,-5,1.92474,-8.84949,-1.15051,-4.99996,1.92389,-8.84774,-1.15219
KS_81,-4.04383,1.92474,-7.89332,-0.194347,-4.0438,1.92389,-7.89157,-0.196021
KS_82,1.36498,1.92474,-2.48451,5.21446,1.52472,1.04468,-0.564632,3.61407
KS_83,0.817777,1.92474,-3.03171,4.66726,0.817872,1.92364,-3.02941,4.66515
KS_84,-4.04335,1.92474,-7.89284,-0.193866,-4.04331,1.92387,-7.89106,-0.195566
KS_85,-4.88941,1.92474,-8.7389,-1.03993,-4.88953,1.92389,-8.7373,-1.04175
KS_87,2.69573,1.92474,-1.15376,6.54521,2.69897,1.14893,0.401115,4.99683
KS_88,1.21681,1.92474,-2.63268,5.06629,1.23256,1.24481,-1.25707,3.72219
KS_89,-4.09583,1.92474,-7.94531,-0.246341,-4.09579,1.92389,-7.94356,-0.248015
KS_9,0.916845,1.92474,-2.93264,4.76633,0.916289,1.03475,-1.1532,2.98578
KS_91,1.16026,1.92474,-2.68923,5.00974,1.16029,1.9173,-2.67431,4.9949
KS_92,-3.94316,1.92474,-7.79264,-0.0936711,-3.94289,1.9143,-7.77149,-0.114296
KS_93,-1.38206,1.92474,-5.23154,2.46743,-1.3794,0.0983495,-1.5761,-1.18271
KS_94,-4.49485,1.92474,-8.34434,-0.645365,-4.50006,0.889156,-6.27837,-2.72175
KS_95,-3.99995,1.92474,-7.84943,-0.150463,-3.99991,1.92389,-7.84769,-0.152137
KS_96,-3.7621,1.92474,-7.61159,0.087383,-3.76206,1.92389,-7.60984,0.0857086
KS_98,-3.94085,1.92474,-7.79034,-0.0913683,-3.94082,1.92388,-7.78858,-0.0930528
KS_99,-3.97242,1.92474,-7.8219,-0.122933,-3.97238,1.92389,-7.82016,-0.124608
LAK_COND_12,0,1.25,-2.5,2.5,-0.00239751,1.24737,-2.49714,2.49235
POND_RECHARGE,3.04878,1.25,0.548779,5.54878,4.06972,0.347269,3.37518,4.76426
SFR_K_1,-1,1.92474,-4.84948,2.84949,-1.00597,1.66953,-4.34504,2.33309
SFR_K_13,-1,1.92474,-4.84948,2.84949,-0.999964,1.92389,-4.84774,2.84781
SFR_K_15,-1,1.92474,-4.84949,2.84948,-0.999327,1.83579,-4.67091,2.67225
SFR_K_18,-1,1.92474,-4.84948,2.84949,-0.989902,0.585125,-2.16015,0.180347
SFR_K_19,-1,1.92474,-4.84949,2.84948,-0.999774,1.92389,-4.84755,2.848
SFR_K_20,-1,1.92474,-4.84948,2.84949,-0.999716,1.92323,-4.84617,2.84674
SFR_K_21,-1,1.92474,-4.84948,2.84949,-0.999821,1.87616,-4.75214,2.7525
SFR_K_22,-1.00146,1.92474,-4.85094,2.84803,-1.00415,1.89671,-4.79758,2.78928
SFR_K_3,-1.03621,1.92474,-4.8857,2.81327,-1.03877,1.87876,-4.79629,2.71875
SFR_K_4,-1,1.92474,-4.84948,2.84949,-0.994497,0.348807,-1.69211,-0.296884
SFR_K_6,-1,1.92474,-4.84948,2.84949,-0.997998,0.830115,-2.65823,0.662233
SFR_K_7,-1,1.92474,-4.84949,2.84948,-1.00391,1.56846,-4.14083,2.13301
SFR_K_9,-1,1.92474,-4.84948,2.84949,-0.999595,1.89841,-4.79641,2.79722
SPILL_688,8.2296,0.8382,6.5532,9.906,8.23038,0.820156,6.59007,9.87069
SURFK_1_1,-3.6,3.17474,-9.94948,2.74949,-3.60046,2.91685,-9.43417,2.23324
SURFK_1_10,-3.6,3.17474,-9.94948,2.74949,-3.59977,3.13323,-9.86623,2.6667
SURFK_1_11,-3.6,3.17474,-9.94948,2.74949,-3.59999,3.17051,-9.94101,2.74103
SURFK_1_12,-3.6,3.17474,-9.94948,2.74949,-3.59995,3.17085,-9.94166,2.74176
SURFK_1_14,-3.6,3.17474,-9.94948,2.74949,-3.59996,3.1709,-9.94177,2.74184
SURFK_1_15,-3.6,3.17474,-9.94948,2.74949,-3.6,3.1745,-9.949,2.749
SURFK_1_17,-3.6,3.17474,-9.94948,2.74949,-3.59996,3.1709,-9.94176,2.74184
SURFK_1_18,-3.6,3.17474,-9.94948,2.74949,-3.59987,3.16923,-9.93834,2.73859
SURFK_1_19,-3.6,3.17474,-9.94948,2.74949,-3.59996,3.1709,-9.94177,2.74184
SURFK_1_3,-3.6,3.17474,-9.94948,2.74949,-3.59996,3.1709,-9.94177,2.74184
SURFK_1_4,-3.4,3.17474,-9.74949,2.94948,-3.39979,3.14113,-9.68204,2.88247
SURFK_1_5,-3.4,3.17474,-9.74949,2.94948,-3.40015,3.10408,-9.6083,2.808
SURFK_1_6,-3.6,3.17474,-9.94948,2.74949,-3.59997,3.17088,-9.94173,2.7418
SURFK_1_8,-3.6,3.17474,-9.94948,2.74949,-3.6024,3.13146,-9.86532,2.66053
SURFK_1_9,-3.6,3.17474,-9.94948,2.74949,-3.59977,2.30376,-8.20728,1.00775
SURFK_2_1,-3.6,3.17474,-9.94948,2.74949,-3.59968,2.93704,-9.47376,2.27441
SURFK_2_10,-3.6,3.17474,-9.94948,2.74949,-3.59996,3.17089,-9.94174,2.74181
SURFK_2_11,-3.6,3.17474,-9.94948,2.74949,-3.59999,3.16989,-9.93977,2.73979
SURFK_2_12,-3.6,3.17474,-9.94948,2.74949,-3.59992,3.16987,-9.93966,2.73982
SURFK_2_15,-3.8,3.17474,-10.1495,2.54948,-3.79997,3.1709,-10.1418,2.54183
SURFK_2_16,-3.8,3.17474,-10.1495,2.54948,-3.79996,3.17075,-10.1415,2.54153
SURFK_2_17,-3.8,3.17474,-10.1495,2.54948,-3.79996,3.1709,-10.1418,2.54184
SURFK_2_19,-3.8,3.17474,-10.1495,2.54948,-3.79996,3.1709,-10.1418,2.54184
SURFK_2_2,-4,3.17474,-10.3495,2.34949,-3.99995,3.16994,-10.3398,2.33993
SURFK_2_20,-3.2,3.17474,-9.54949,3.14948,-3.19996,3.1709,-9.54177,3.14184
SURFK_2_21,-3.8,3.17474,-10.1495,2.54948,-3.79996,3.17088,-10.1417,2.5418
SURFK_2_22,-3.8,3.17474,-10.1495,2.54948,-3.79985,3.1589,-10.1177,2.51796
SURFK_2_3,-4,3.17474,-10.3495,2.34949,-3.99996,3.1709,-10.3418,2.34184
SURFK_2_4,-3.6,3.17474,-9.94948,2.74949,-3.59995,3.16941,-9.93877,2.73886
SURFK_2_5,-3.6,3.17474,-9.94948,2.74949,-3.59946,2.71504,-9.02954,1.83061
SURFK_2_6,-3.8,3.17474,-10.1495,2.54948,-3.79998,3.17053,-10.141,2.54108
SURFK_2_8,-3.6,3.17474,-9.94948,2.74949,-3.59996,3.17088,-9.94172,2.7418
SURFK_2_9,-3.6,3.17474,-9.94948,2.74949,-3.6,3.16587,-9.93174,2.73174
SURFK_3_1,-7.51999,3.17474,-13.8695,-1.17051,-7.52239,3.13146,-13.7853,-1.25946
SURFK_3_12,-7.51004,3.17474,-13.8595,-1.16056,-7.51011,3.1709,-13.8519,-1.16831
SURFK_3_13,-7.51004,3.17474,-13.8595,-1.16056,-7.51001,3.1709,-13.8518,-1.1682
SURFK_3_14,-7.51004,3.17474,-13.8595,-1.16056,-7.51,3.1709,-13.8518,-1.1682
SURFK_3_15,-7.51004,3.17474,-13.8595,-1.16056,-7.51244,3.13146,-13.7754,-1.24951
SURFK_3_16,-7,3.17474,-13.3495,-0.650515,-6.99996,3.1709,-13.3418,-0.658158
SURFK_3_18,-7.51004,3.17474,-13.8595,-1.16056,-7.51,3.1709,-13.8518,-1.1682
SURFK_3_19,-7.51004,3.17474,-13.8595,-1.16056,-7.51001,3.1709,-13.8518,-1.1682
SURFK_3_2,-7.51004,3.17474,-13.8595,-1.16056,-7.51244,3.13146,-13.7754,-1.24951
SURFK_3_20,-6.9393,3.17474,-13.2888,-0.589817,-6.93927,3.1709,-13.2811,-0.597461
SURFK_3_21,-7.51004,3.17474,-13.8595,-1.16056,-7.51001,3.1709,-13.8518,-1.1682
SURFK_3_22,-7.51004,3.17474,-13.8595,-1.16056,-7.51001,3.1709,-13.8518,-1.1682
SURFK_3_3,-7.51004,3.17474,-13.8595,-1.16056,-7.51244,3.13146,-13.7754,-1.24951
SURFK_3_4,-7.51004,3.17474,-13.8595,-1.16056,-7.51244,3.13146,-13.7754,-1.24951
SURFK_3_5,-7.51004,3.17474,-13.8595,-1.16056,-7.51001,3.1709,-13.8518,-1.1682
SURFK_3_7,-7.51004,3.17474,-13.8595,-1.16056,-7.51244,3.13146,-13.7754,-1.24951
SURFK_3_8,-7.51004,3.17474,-13.8595,-1.16056,-7.50994,3.16779,-13.8455,-1.17435
SURFK_3_9,-7.51004,3.17474,-13.8595,-1.16056,-7.51,3.1709,-13.8518,-1.1682
VKA_RATIO_1,0.1,2.75e+09,-5.5e+09,5.5e+09,0.101135,0.476546,-0.851957,1.05423
VKA_RATIO_2,0.1,2.75e+09,-5.5e+09,5.5e+09,0.100588,0.0357618,0.0290644,0.172112
