segment,reach,Qaquifer,gaining_days,losing_days,no_exchange_days,count_days,agg_months
19,7,-216.34278076923076,0.0,61.0,0.0,61.0,wet_to_dry
20,1,8237.145437307692,51.92307692307692,9.076923076923077,0.0,61.0,wet_to_dry
21,1,-594.4773823076923,0.0,61.0,0.0,61.0,wet_to_dry
21,2,-494.7480976923076,0.0,61.0,0.0,61.0,wet_to_dry
21,3,-424.51365538461545,0.0,61.0,0.0,61.0,wet_to_dry
21,4,-425.4593630769231,0.0,61.0,0.0,61.0,wet_to_dry
21,5,-426.3310515384615,0.0,61.0,0.0,61.0,wet_to_dry
21,6,-421.54489384615385,0.0,61.0,0.0,61.0,wet_to_dry
21,7,196.25961416923076,49.96153846153846,11.038461538461538,0.0,61.0,wet_to_dry
21,8,61274.81109230769,52.76923076923077,8.23076923076923,0.0,61.0,wet_to_dry
21,9,-101611.56758769229,0.0,61.0,0.0,61.0,wet_to_dry
21,10,-23039.725719242313,13.846153846153847,47.15384615384615,0.0,61.0,wet_to_dry
21,11,1112.7246153846154,61.0,0.0,0.0,61.0,wet_to_dry
21,12,2056.079923076923,61.0,0.0,0.0,61.0,wet_to_dry
21,13,1416.0633461538464,61.0,0.0,0.0,61.0,wet_to_dry
21,14,1463.550730769231,61.0,0.0,0.0,61.0,wet_to_dry
21,15,1808.959846153846,61.0,0.0,0.0,61.0,wet_to_dry
21,16,1964.8338461538465,61.0,0.0,0.0,61.0,wet_to_dry
21,17,2547.4970769230767,61.0,0.0,0.0,61.0,wet_to_dry
21,18,2482.6207307692307,61.0,0.0,0.0,61.0,wet_to_dry
21,19,2349.44623076923,61.0,0.0,0.0,61.0,wet_to_dry
21,20,1459.8011730769229,61.0,0.0,0.0,61.0,wet_to_dry
22,1,24701.691661538458,60.65384615384615,0.34615384615384615,0.0,61.0,wet_to_dry
22,2,8147.386289230772,57.65384615384615,3.3461538461538463,0.0,61.0,wet_to_dry
23,1,3555.3982307692304,61.0,0.0,0.0,61.0,wet_to_dry
23,2,4801.550692307693,61.0,0.0,0.0,61.0,wet_to_dry
23,3,1748.5437153846156,60.96153846153846,0.038461538461538464,0.0,61.0,wet_to_dry
23,4,3998.456653846153,61.0,0.0,0.0,61.0,wet_to_dry
23,5,2311.4457653846157,60.96153846153846,0.038461538461538464,0.0,61.0,wet_to_dry
23,6,2805.887887307692,60.96153846153846,0.038461538461538464,0.0,61.0,wet_to_dry
23,7,419.2963753884617,54.69230769230769,6.3076923076923075,0.0,61.0,wet_to_dry
23,8,268.9833672961539,50.61538461538461,10.384615384615385,0.0,61.0,wet_to_dry
24,1,1781.6880384615386,61.0,0.0,0.0,61.0,wet_to_dry
24,2,1781.7589419230774,60.96153846153846,0.038461538461538464,0.0,61.0,wet_to_dry
24,3,4804.089846153846,61.0,0.0,0.0,61.0,wet_to_dry
24,4,2911.365753846155,60.96153846153846,0.038461538461538464,0.0,61.0,wet_to_dry
24,5,-1384.4410139230765,7.038461538461538,53.96153846153846,0.0,61.0,wet_to_dry
24,6,-6882.232884615385,0.0,61.0,0.0,61.0,wet_to_dry
24,7,-7409.281988461537,0.0,61.0,0.0,61.0,wet_to_dry
24,8,-5515.895931538461,0.7692307692307693,60.23076923076923,0.0,61.0,wet_to_dry
24,9,-3644.5622144615386,6.115384615384615,54.88461538461539,0.0,61.0,wet_to_dry
24,10,23839.014819230768,56.30769230769231,4.6923076923076925,0.0,61.0,wet_to_dry
24,11,60351.59230769231,61.0,0.0,0.0,61.0,wet_to_dry
24,12,6909.593884615384,61.0,0.0,0.0,61.0,wet_to_dry
25,1,3427.2735420384615,58.0,3.0,0.0,61.0,wet_to_dry
25,2,3280.6315484615384,60.23076923076923,0.7692307692307693,0.0,61.0,wet_to_dry
25,3,3383.1383230769225,60.65384615384615,0.34615384615384615,0.0,61.0,wet_to_dry
25,4,3820.2867871538465,60.65384615384615,0.34615384615384615,0.0,61.0,wet_to_dry
25,5,3635.2685846153845,59.80769230769231,1.1923076923076923,0.0,61.0,wet_to_dry
25,6,3771.3602730769226,60.61538461538461,0.38461538461538464,0.0,61.0,wet_to_dry
25,7,2957.4533121153845,58.42307692307692,2.576923076923077,0.0,61.0,wet_to_dry
25,8,2857.990118038462,59.61538461538461,1.3846153846153846,0.0,61.0,wet_to_dry
25,9,2807.257315384615,60.15384615384615,0.8461538461538461,0.0,61.0,wet_to_dry
26,1,-56.41535129,16.153846153846153,44.84615384615385,0.0,61.0,wet_to_dry
26,2,-72.4275624503846,2.5384615384615383,58.46153846153846,0.0,61.0,wet_to_dry
26,3,-86.77770384615386,0.0,61.0,0.0,61.0,wet_to_dry
26,4,-97.83330153846153,0.0,61.0,0.0,61.0,wet_to_dry
26,5,-97.10873653846153,0.0,61.0,0.0,61.0,wet_to_dry
26,6,-97.53700461538459,0.0,61.0,0.0,61.0,wet_to_dry
26,7,-97.33739,0.0,61.0,0.0,61.0,wet_to_dry
26,8,-92.59161068461539,0.3076923076923077,60.69230769230769,0.0,61.0,wet_to_dry
26,9,-97.08035307692307,0.0,61.0,0.0,61.0,wet_to_dry
26,10,-96.69427307692308,0.0,61.0,0.0,61.0,wet_to_dry
26,11,-91.52015558461538,0.46153846153846156,60.53846153846154,0.0,61.0,wet_to_dry
26,12,-65.07158780384614,2.576923076923077,58.42307692307692,0.0,61.0,wet_to_dry
26,13,-43.30159917115384,8.153846153846153,52.84615384615385,0.0,61.0,wet_to_dry
26,14,-330.08546923076926,0.0,61.0,0.0,61.0,wet_to_dry
27,1,2575.8735769230766,61.0,0.0,0.0,61.0,wet_to_dry
27,2,171.43949715384613,24.26923076923077,36.73076923076923,0.0,61.0,wet_to_dry
27,3,-44.01840776923081,21.26923076923077,39.73076923076923,0.0,61.0,wet_to_dry
27,4,1370.2260964346153,46.34615384615385,14.653846153846153,0.0,61.0,wet_to_dry
27,5,2837.951192307693,61.0,0.0,0.0,61.0,wet_to_dry
27,6,3220.397807692308,61.0,0.0,0.0,61.0,wet_to_dry
27,7,731.5457267692308,59.42307692307692,1.5769230769230769,0.0,61.0,wet_to_dry
27,8,3770.1276153846147,61.0,0.0,0.0,61.0,wet_to_dry
28,1,-222.50844615384614,0.0,61.0,0.0,61.0,wet_to_dry
28,2,-212.4267038461538,0.0,61.0,0.0,61.0,wet_to_dry
28,3,-200.82635769230768,0.0,61.0,0.0,61.0,wet_to_dry
28,4,-203.97194230769233,0.0,61.0,0.0,61.0,wet_to_dry
28,5,-199.14628461538464,0.0,61.0,0.0,61.0,wet_to_dry
28,6,-183.98968461538468,0.0,61.0,0.0,61.0,wet_to_dry
28,7,-190.78588846153846,0.0,61.0,0.0,61.0,wet_to_dry
28,8,-194.4899730769231,0.0,61.0,0.0,61.0,wet_to_dry
28,9,-194.87679615384616,0.0,61.0,0.0,61.0,wet_to_dry
28,10,-207.57700000000003,0.0,61.0,0.0,61.0,wet_to_dry
28,11,-214.68178076923078,0.0,61.0,0.0,61.0,wet_to_dry
28,12,-219.02770384615377,0.0,61.0,0.0,61.0,wet_to_dry
